b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-03',b'20:00:00',b'28',b'19.5',b'',b'',b'99',b'',b'027',b'1',b'',b'',b'',b'',b'879.5',b'1015.5',b'03.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'3',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-03',b'22:00:00',b'29',b'19.2',b'',b'',b'99',b'',b'045',b'3',b'',b'',b'',b'',b'878.6',b'1016.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'4',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-03',b'23:00:00',b'29',b'19.0',b'',b'',b'99',b'',b'073',b'2',b'',b'',b'',b'',b'878.7',b'1018.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'5',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-04',b'00:00:00',b'29',b'18.9',b'',b'',b'99',b'',b'041',b'5',b'',b'',b'',b'',b'878.3',b'1019.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'6',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-04',b'15:00:00',b'2',b'20.4',b'',b'',b'99',b'',b'098',b'1',b'',b'',b'',b'',b'879.5',b'1007.4',b'02.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'7',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-04',b'16:00:00',b'2',b'20.2',b'',b'',b'99',b'',b'033',b'1',b'',b'',b'',b'',b'879.5',b'1009.2',b'02.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'8',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-04',b'17:00:00',b'4',b'19.8',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'879.5',b'1012.8',b'02.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'9',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-09',b'22:00:00',b'0',b'19.0',b'',b'',b'99',b'',b'092',b'1',b'',b'',b'',b'',b'880.2',b'1021.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'10',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-09',b'23:00:00',b'0',b'19.0',b'',b'',b'99',b'',b'078',b'2',b'',b'',b'',b'',b'880.4',b'1021.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'11',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-10',b'00:00:00',b'0',b'19.4',b'',b'',b'99',b'',b'184',b'2',b'',b'',b'',b'',b'880.7',b'1018.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'12',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-10',b'01:00:00',b'0',b'19.6',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'881.3',b'1017.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'13',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-10',b'20:00:00',b'0',b'19.3',b'',b'',b'99',b'',b'052',b'2',b'',b'',b'',b'',b'879.1',b'1016.6',b'04.52',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'14',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-10',b'21:00:00',b'0',b'18.9',b'',b'',b'99',b'',b'129',b'1',b'',b'',b'',b'',b'878.7',b'1019.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'15',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-10',b'23:00:00',b'0',b'18.1',b'',b'',b'99',b'',b'206',b'1',b'',b'',b'',b'',b'878.2',b'1026.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'16',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-11',b'01:00:00',b'0',b'18.2',b'',b'',b'99',b'',b'197',b'1',b'',b'',b'',b'',b'879.6',b'1027.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'17',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-12',b'00:00:00',b'3',b'18.2',b'',b'',b'99',b'',b'034',b'3',b'',b'',b'',b'',b'879.0',b'1026.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'18',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-12',b'01:00:00',b'3',b'18.5',b'',b'',b'99',b'',b'092',b'1',b'',b'',b'',b'',b'879.3',b'1024.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'19',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-12',b'23:00:00',b'0',b'19.5',b'',b'',b'99',b'',b'030',b'1',b'',b'',b'',b'',b'878.3',b'1013.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'20',b'NORTH_SIKKIM',b'MANGAN',b'2020-10-13',b'19:00:00',b'0',b'18.8',b'',b'',b'99',b'',b'015',b'2',b'',b'',b'',b'',b'878.8',b'1020.7',b'02.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'21',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'00:00:00',b'0',b'18.1',b'',b'',b'',b'',b'057',b'1',b'',b'',b'',b'',b'902.3',b'1267.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'22',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'01:00:00',b'0',b'18.4',b'',b'',b'',b'',b'068',b'2',b'',b'',b'',b'',b'903.0',b'1266.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'23',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'05:00:00',b'0',b'23.0',b'',b'',b'99',b'',b'149',b'1',b'',b'',b'',b'',b'903.9',b'1235.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'24',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'06:00:00',b'0',b'25.2',b'',b'',b'94',b'',b'210',b'1',b'',b'',b'',b'',b'903.0',b'1218.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'25',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'07:00:00',b'0',b'24.8',b'',b'',b'95',b'',b'105',b'1',b'',b'',b'',b'',b'901.6',b'1218.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'26',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'08:00:00',b'0',b'24.3',b'',b'',b'98',b'',b'120',b'2',b'',b'',b'',b'',b'900.6',b'1219.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'27',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'09:00:00',b'0',b'22.6',b'',b'',b'99',b'',b'093',b'3',b'',b'',b'',b'',b'900.6',b'1232.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'28',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'10:00:00',b'0',b'20.7',b'',b'',b'99',b'',b'132',b'3',b'',b'',b'',b'',b'900.4',b'1245.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'29',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'11:00:00',b'0',b'20.8',b'',b'',b'99',b'',b'034',b'5',b'',b'',b'',b'',b'900.7',b'1245.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'30',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'12:00:00',b'0',b'20.3',b'',b'26.3',b'99',b'',b'125',b'1',b'',b'',b'',b'',b'901.6',b'1250.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'31',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'13:00:00',b'0',b'20.1',b'',b'',b'99',b'',b'085',b'1',b'',b'',b'',b'',b'902.1',b'1252.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'32',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'14:00:00',b'0',b'19.6',b'',b'',b'99',b'',b'087',b'1',b'',b'',b'',b'',b'903.0',b'1257.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'33',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'15:00:00',b'0',b'19.2',b'',b'',b'99',b'',b'238',b'2',b'',b'',b'',b'',b'903.6',b'1261.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'34',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'16:00:00',b'0',b'18.5',b'',b'',b'99',b'',b'053',b'2',b'',b'',b'',b'',b'903.7',b'1266.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'35',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'17:00:00',b'0',b'18.3',b'',b'',b'99',b'',b'085',b'2',b'',b'',b'',b'',b'903.5',b'1267.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'36',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'18:00:00',b'0',b'18.1',b'',b'',b'50',b'',b'066',b'2',b'',b'',b'',b'',b'903.3',b'1268.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'37',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'19:00:00',b'0',b'18.0',b'',b'',b'',b'',b'083',b'2',b'',b'',b'',b'',b'903.2',b'1269.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'38',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'20:00:00',b'0',b'17.7',b'',b'',b'',b'',b'064',b'2',b'',b'',b'',b'',b'902.9',b'1271.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'39',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'21:00:00',b'0',b'17.8',b'',b'',b'99',b'',b'043',b'2',b'',b'',b'',b'',b'903.0',b'1270.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'40',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'22:00:00',b'0',b'17.8',b'',b'',b'',b'',b'054',b'1',b'',b'',b'',b'',b'902.8',b'1270.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'41',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-01',b'23:00:00',b'0',b'17.5',b'',b'',b'',b'',b'043',b'2',b'',b'',b'',b'',b'903.0',b'1272.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'42',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-02',b'00:00:00',b'0',b'17.3',b'',b'',b'',b'',b'071',b'3',b'',b'',b'',b'',b'903.4',b'1274.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'43',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-02',b'05:00:00',b'0',b'25.8',b'',b'',b'94',b'',b'221',b'2',b'',b'',b'',b'',b'904.2',b'1216.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.1',b'L'
b'44',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-02',b'06:00:00',b'0',b'25.7',b'',b'',b'88',b'',b'127',b'3',b'',b'',b'',b'',b'903.7',b'1215.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'45',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-02',b'07:00:00',b'0',b'24.5',b'',b'',b'90',b'',b'139',b'2',b'',b'',b'',b'',b'903.0',b'1222.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'46',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-10-02',b'08:00:00',b'0',b'24.4',b'',b'',b'93',b'',b'135',b'3',b'',b'',b'',b'',b'901.9',b'1221.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
