b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'01:00:00',b'37',b'24.8',b'',b'',b'99',b'',b'275',b'1',b'',b'',b'',b'',b'973.7',b'1006.9',b'00.00',b'',b'29',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'02:00:00',b'38',b'24.8',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'974.2',b'1007.4',b'00.00',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'03:00:00',b'38',b'26.6',b'24.2',b'',b'99',b'',b'303',b'3',b'',b'',b'',b'',b'974.5',b'1007.5',b'00.51',b'',b'32',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'06:00:00',b'0',b'30.3',b'',b'',b'99',b'',b'283',b'2',b'',b'',b'',b'',b'974.2',b'1006.8',b'03.51',b'',b'25',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'07:00:00',b'0',b'31.3',b'',b'',b'97',b'',b'261',b'2',b'',b'',b'',b'',b'973.4',b'1005.9',b'04.51',b'',b'28',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'08:00:00',b'0',b'32.0',b'',b'',b'91',b'',b'264',b'4',b'',b'',b'',b'',b'972.4',b'1004.7',b'05.51',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'09:00:00',b'0',b'32.8',b'',b'',b'83',b'',b'295',b'4',b'',b'',b'',b'',b'971.9',b'1004.1',b'06.51',b'1.9',b'35',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'10:00:00',b'0',b'32.7',b'',b'',b'81',b'',b'222',b'3',b'',b'',b'',b'',b'971.1',b'1003.3',b'07.51',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'11:00:00',b'0',b'32.4',b'',b'',b'81',b'',b'256',b'2',b'',b'',b'',b'',b'970.9',b'1003.2',b'08.42',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-09-01',b'12:00:00',b'0',b'29.5',b'',b'33.5',b'99',b'',b'032',b'1',b'',b'',b'',b'',b'971.4',b'1004.0',b'09.06',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
