b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'02:00:00',b'0.0',b'30.2',b'',b'',b'99',b'',b'076',b'3',b'',b'',b'',b'',b'1002.2',b'1011.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'03:00:00',b'0.0',b'33.5',b'',b'',b'86',b'',b'086',b'3',b'',b'',b'',b'',b'1002.5',b'1011.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'04:00:00',b'0.0',b'35.7',b'',b'',b'76',b'',b'097',b'4',b'',b'',b'',b'',b'1002.3',b'1011.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'05:00:00',b'0.0',b'35.7',b'',b'',b'78',b'',b'138',b'2',b'',b'',b'',b'',b'1001.5',b'1010.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'06:00:00',b'0.0',b'34.4',b'',b'',b'77',b'',b'072',b'4',b'',b'',b'',b'',b'1000.7',b'1009.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'07:00:00',b'0.0',b'34.5',b'',b'',b'75',b'',b'100',b'4',b'',b'',b'',b'',b'999.9',b'1008.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.1',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'08:00:00',b'0.0',b'33.8',b'',b'',b'79',b'',b'078',b'6',b'',b'',b'',b'',b'999.1',b'1007.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'09:00:00',b'0.0',b'33.0',b'',b'',b'81',b'',b'102',b'5',b'',b'',b'',b'',b'998.6',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'10:00:00',b'0.0',b'31.6',b'',b'',b'87',b'',b'071',b'4',b'',b'',b'',b'',b'998.6',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'11:00:00',b'0.0',b'29.8',b'',b'',b'91',b'',b'072',b'2',b'',b'',b'',b'',b'999.0',b'1007.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'12',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'12:00:00',b'0.0',b'28.7',b'',b'36.5',b'99',b'',b'283',b'3',b'',b'',b'',b'',b'999.4',b'1008.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'13',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'13:00:00',b'0.0',b'27.4',b'',b'',b'99',b'',b'234',b'3',b'',b'',b'',b'',b'999.8',b'1008.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'U'
b'14',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'14:00:00',b'0.0',b'26.9',b'',b'',b'99',b'',b'251',b'2',b'',b'',b'',b'',b'1000.7',b'1009.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'15',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'15:00:00',b'0.0',b'26.6',b'',b'',b'99',b'',b'225',b'2',b'',b'',b'',b'',b'1001.5',b'1010.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'16',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'16:00:00',b'0.0',b'26.4',b'',b'',b'',b'',b'025',b'2',b'',b'',b'',b'',b'1001.9',b'1010.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'17',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'17:00:00',b'0.0',b'26.2',b'',b'',b'',b'',b'282',b'2',b'',b'',b'',b'',b'1001.6',b'1010.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'18',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'18:00:00',b'0.0',b'26.4',b'',b'',b'',b'',b'270',b'1',b'',b'',b'',b'',b'1000.8',b'1009.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'19',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'19:00:00',b'0.0',b'26.1',b'',b'',b'',b'',b'079',b'1',b'',b'',b'',b'',b'1000.1',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'20',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'20:00:00',b'0.0',b'26.1',b'',b'',b'',b'',b'229',b'2',b'',b'',b'',b'',b'999.8',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'21',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'21:00:00',b'0.0',b'26.3',b'',b'',b'',b'',b'212',b'1',b'',b'',b'',b'',b'999.8',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'22',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-05-01',b'22:00:00',b'0.0',b'25.8',b'',b'',b'1',b'',b'247',b'3',b'',b'',b'',b'',b'1000.1',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
