b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'GASA',b'GASA',b'2022-08-05',b'08:00:00',b'0.0',b'22.7',b'',b'',b'',b'',b'196',b'6',b'',b'',b'',b'',b'714.9',b'2310.0',b'07.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'3',b'GASA',b'GASA',b'2022-08-05',b'09:00:00',b'0.0',b'20.0',b'',b'',b'',b'',b'208',b'6',b'',b'',b'',b'',b'714.5',b'2375.4',b'08.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'4',b'GASA',b'GASA',b'2022-08-05',b'10:00:00',b'0.0',b'18.6',b'',b'',b'',b'',b'242',b'4',b'',b'',b'',b'',b'714.9',b'2410.7',b'09.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'5',b'GASA',b'GASA',b'2022-08-05',b'11:00:00',b'0.0',b'17.4',b'',b'',b'',b'',b'099',b'2',b'',b'',b'',b'',b'715.3',b'2441.0',b'09.33',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'6',b'GASA',b'GASA',b'2022-08-05',b'13:00:00',b'0.0',b'15.8',b'',b'',b'',b'',b'232',b'2',b'',b'',b'',b'',b'716.5',b'2482.3',b'09.33',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'7',b'GASA',b'GASA',b'2022-08-05',b'15:00:00',b'0.0',b'15.4',b'',b'',b'',b'',b'188',b'1',b'',b'',b'',b'',b'717.4',b'2493.6',b'09.33',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'8',b'GASA',b'GASA',b'2022-08-05',b'16:00:00',b'1.0',b'15.1',b'',b'',b'',b'',b'216',b'4',b'',b'',b'',b'',b'717.4',b'2500.9',b'09.33',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'9',b'GASA',b'GASA',b'2022-08-05',b'17:00:00',b'1.0',b'14.7',b'',b'',b'',b'',b'254',b'2',b'',b'',b'',b'',b'717.5',b'2510.7',b'09.33',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'10',b'GASA',b'GASA',b'2022-08-06',b'03:00:00',b'1.0',b'17.0',b'',b'',b'',b'',b'123',b'2',b'',b'',b'',b'',b'716.9',b'2453.8',b'01.53',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'11',b'GASA',b'GASA',b'2022-08-06',b'08:00:00',b'0.0',b'15.3',b'',b'',b'',b'',b'303',b'2',b'',b'',b'',b'',b'716.5',b'2494.5',b'06.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'12',b'GASA',b'GASA',b'2022-08-06',b'09:00:00',b'0.0',b'15.6',b'',b'',b'',b'',b'208',b'4',b'',b'',b'',b'',b'716.0',b'2486.3',b'07.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'13',b'GASA',b'GASA',b'2022-08-06',b'10:00:00',b'0.0',b'16.4',b'',b'',b'',b'',b'195',b'3',b'',b'',b'',b'',b'715.5',b'2465.9',b'08.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'14',b'GASA',b'GASA',b'2022-08-06',b'11:00:00',b'0.0',b'16.9',b'',b'',b'',b'',b'180',b'3',b'',b'',b'',b'',b'715.3',b'2453.2',b'09.43',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'15',b'GASA',b'GASA',b'2022-08-06',b'12:00:00',b'0.0',b'15.8',b'',b'',b'',b'',b'226',b'3',b'',b'',b'',b'',b'715.7',b'2480.9',b'09.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'16',b'GASA',b'GASA',b'2022-08-06',b'13:00:00',b'0.0',b'14.9',b'',b'',b'',b'',b'310',b'1',b'',b'',b'',b'',b'715.9',b'2503.3',b'09.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'17',b'GASA',b'GASA',b'2022-08-06',b'14:00:00',b'0.0',b'14.6',b'',b'',b'',b'',b'313',b'2',b'',b'',b'',b'',b'716.5',b'2511.6',b'09.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'18',b'GASA',b'GASA',b'2022-08-06',b'15:00:00',b'0.0',b'13.6',b'',b'',b'',b'',b'329',b'4',b'',b'',b'',b'',b'717.2',b'2537.0',b'09.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'19',b'GASA',b'GASA',b'2022-08-06',b'16:00:00',b'0.0',b'14.2',b'',b'',b'',b'',b'327',b'2',b'',b'',b'',b'',b'717.6',b'2523.0',b'09.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'20',b'GASA',b'GASA',b'2022-08-06',b'17:00:00',b'0.0',b'14.2',b'',b'',b'',b'',b'335',b'3',b'',b'',b'',b'',b'717.7',b'2523.2',b'09.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'21',b'GASA',b'GASA',b'2022-08-07',b'06:00:00',b'0.0',b'19.4',b'',b'',b'',b'',b'166',b'3',b'',b'',b'',b'',b'716.5',b'2394.5',b'05.29',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'22',b'GASA',b'GASA',b'2022-08-07',b'07:00:00',b'0.0',b'18.8',b'',b'',b'',b'',b'211',b'4',b'',b'',b'',b'',b'716.2',b'2408.5',b'06.29',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'23',b'GASA',b'GASA',b'2022-08-07',b'08:00:00',b'0.0',b'20.6',b'',b'',b'',b'',b'198',b'4',b'',b'',b'',b'',b'715.7',b'2363.4',b'07.29',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'24',b'GASA',b'GASA',b'2022-08-07',b'09:00:00',b'0.0',b'17.9',b'',b'',b'',b'',b'212',b'4',b'',b'',b'',b'',b'715.7',b'2429.5',b'08.29',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.4',b'L'
b'25',b'GASA',b'GASA',b'2022-08-07',b'10:00:00',b'0.0',b'16.9',b'',b'',b'',b'',b'251',b'2',b'',b'',b'',b'',b'715.3',b'2453.2',b'08.35',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'26',b'GASA',b'GASA',b'2022-08-07',b'11:00:00',b'0.0',b'18.9',b'',b'',b'',b'',b'104',b'1',b'',b'',b'',b'',b'715.5',b'2404.6',b'09.14',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'27',b'GASA',b'GASA',b'2022-08-07',b'12:00:00',b'0.0',b'17.1',b'',b'22.0',b'',b'',b'303',b'3',b'',b'',b'',b'',b'715.4',b'2448.5',b'09.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'28',b'GASA',b'GASA',b'2022-08-07',b'13:00:00',b'0.0',b'16.4',b'',b'',b'',b'',b'303',b'3',b'',b'',b'',b'',b'716.2',b'2467.1',b'09.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'29',b'GASA',b'GASA',b'2022-08-07',b'14:00:00',b'0.0',b'15.7',b'',b'',b'',b'',b'321',b'1',b'',b'',b'',b'',b'716.7',b'2485.1',b'09.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'30',b'GASA',b'GASA',b'2022-08-07',b'15:00:00',b'0.0',b'15.4',b'',b'',b'',b'',b'174',b'3',b'',b'',b'',b'',b'717.4',b'2493.6',b'09.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'31',b'GASA',b'GASA',b'2022-08-07',b'16:00:00',b'0.0',b'15.1',b'',b'',b'',b'',b'129',b'2',b'',b'',b'',b'',b'717.8',b'2501.5',b'09.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'32',b'GASA',b'GASA',b'2022-08-07',b'18:00:00',b'0.0',b'14.5',b'',b'',b'',b'',b'110',b'2',b'',b'',b'',b'',b'717.6',b'2515.8',b'09.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'33',b'GASA',b'GASA',b'2022-08-08',b'05:00:00',b'0.0',b'19.9',b'',b'',b'',b'',b'161',b'4',b'',b'',b'',b'',b'717.4',b'2384.3',b'04.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'34',b'GASA',b'GASA',b'2022-08-08',b'07:00:00',b'0.0',b'18.5',b'',b'',b'',b'',b'146',b'1',b'',b'',b'',b'',b'716.5',b'2416.4',b'06.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'35',b'GASA',b'GASA',b'2022-08-08',b'08:00:00',b'0.0',b'20.6',b'',b'',b'',b'',b'201',b'5',b'',b'',b'',b'',b'715.9',b'2363.9',b'07.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'36',b'GASA',b'GASA',b'2022-08-08',b'09:00:00',b'0.0',b'17.9',b'',b'',b'',b'',b'226',b'3',b'',b'',b'',b'',b'716.1',b'2430.3',b'08.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'37',b'GASA',b'GASA',b'2022-08-08',b'10:00:00',b'0.0',b'19.4',b'',b'',b'',b'',b'198',b'4',b'',b'',b'',b'',b'715.8',b'2393.0',b'09.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'38',b'GASA',b'GASA',b'2022-08-08',b'11:00:00',b'0.0',b'21.0',b'',b'',b'',b'',b'218',b'3',b'',b'',b'',b'',b'715.2',b'2352.5',b'10.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'39',b'GASA',b'GASA',b'2022-08-08',b'12:00:00',b'0.0',b'17.7',b'',b'21.4',b'',b'',b'333',b'1',b'',b'',b'',b'',b'715.8',b'2434.6',b'10.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
