b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'01:00:00',b'0.0',b'0.3',b'',b'',b'95',b'',b'104',b'3',b'',b'',b'',b'',b'787.0',b'2165.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.2',b'L'
b'3',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'03:00:00',b'0.0',b'5.5',b'',b'',b'79',b'',b'171',b'3',b'',b'',b'',b'',b'788.0',b'2076.5',b'00.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'4',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'04:00:00',b'0.0',b'8.5',b'',b'',b'13',b'',b'248',b'2',b'',b'',b'',b'',b'787.7',b'2025.1',b'01.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'5',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'05:00:00',b'0.0',b'10.3',b'',b'',b'',b'',b'286',b'3',b'',b'',b'',b'',b'787.0',b'1993.7',b'02.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'6',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'06:00:00',b'0.0',b'12.7',b'',b'',b'22',b'',b'231',b'5',b'',b'',b'',b'',b'786.2',b'1951.6',b'03.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'7',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'07:00:00',b'0.0',b'14.2',b'',b'',b'',b'',b'215',b'4',b'',b'',b'',b'',b'785.4',b'1924.7',b'04.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'8',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'08:00:00',b'0.0',b'14.4',b'',b'',b'',b'',b'238',b'5',b'',b'',b'',b'',b'784.5',b'1920.0',b'05.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'9',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'09:00:00',b'0.0',b'13.7',b'',b'',b'',b'',b'238',b'4',b'',b'',b'',b'',b'784.2',b'1931.8',b'06.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'10',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'10:00:00',b'0.0',b'12.4',b'',b'',b'',b'',b'215',b'5',b'',b'',b'',b'',b'784.4',b'1954.6',b'07.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'11',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'11:00:00',b'0.0',b'8.7',b'',b'',b'',b'',b'231',b'2',b'',b'',b'',b'',b'784.8',b'2019.3',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'12',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'12:00:00',b'0.0',b'6.7',b'',b'15.3',b'68',b'',b'028',b'5',b'',b'',b'',b'',b'785.1',b'2054.2',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'13',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'13:00:00',b'0.0',b'6.6',b'',b'',b'99',b'',b'084',b'5',b'',b'',b'',b'',b'785.8',b'2056.4',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'14',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'14:00:00',b'0.0',b'4.5',b'',b'',b'99',b'',b'125',b'3',b'',b'',b'',b'',b'786.2',b'2092.8',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'15',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'16:00:00',b'0.0',b'3.6',b'',b'',b'99',b'',b'080',b'4',b'',b'',b'',b'',b'786.4',b'2108.4',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'16',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'19:00:00',b'0.0',b'2.2',b'',b'',b'77',b'',b'037',b'5',b'',b'',b'',b'',b'786.1',b'2132.4',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'17',b'TRONGSA',b'TRONGSA',b'2021-01-01',b'20:00:00',b'0.0',b'1.3',b'',b'',b'88',b'',b'359',b'0',b'',b'',b'',b'',b'785.7',b'2147.8',b'08.09',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'18',b'TRONGSA',b'TRONGSA',b'2021-01-02',b'03:00:00',b'0.0',b'4.4',b'',b'',b'99',b'',b'263',b'1',b'',b'',b'',b'',b'787.1',b'2094.9',b'00.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'19',b'TRONGSA',b'TRONGSA',b'2021-01-02',b'04:00:00',b'0.0',b'9.3',b'',b'',b'99',b'',b'200',b'2',b'',b'',b'',b'',b'786.9',b'2010.8',b'01.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'20',b'TRONGSA',b'TRONGSA',b'2021-01-02',b'05:00:00',b'0.0',b'11.5',b'',b'',b'79',b'',b'208',b'4',b'',b'',b'',b'',b'786.1',b'1972.2',b'02.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'21',b'TRONGSA',b'TRONGSA',b'2021-01-02',b'06:00:00',b'0.0',b'11.5',b'',b'',b'99',b'',b'216',b'5',b'',b'',b'',b'',b'785.2',b'1971.2',b'03.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'22',b'TRONGSA',b'TRONGSA',b'2021-01-02',b'07:00:00',b'0.0',b'12.9',b'',b'',b'61',b'',b'228',b'4',b'',b'',b'',b'',b'784.5',b'1946.1',b'04.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
