b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'01:00:00',b'0.0',b'27.3',b'',b'',b'',b'',b'047',b'2',b'',b'',b'',b'',b'1003.2',b'1012.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'02:00:00',b'0.0',b'30.3',b'',b'',b'98',b'',b'112',b'1',b'',b'',b'',b'',b'1003.8',b'1012.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'03:00:00',b'0.0',b'30.9',b'',b'',b'92',b'',b'059',b'5',b'',b'',b'',b'',b'1004.1',b'1013.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'04:00:00',b'0.0',b'31.3',b'',b'',b'91',b'',b'087',b'6',b'',b'',b'',b'',b'1004.2',b'1013.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'05:00:00',b'0.0',b'30.1',b'',b'',b'97',b'',b'049',b'4',b'',b'',b'',b'',b'1003.3',b'1012.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'06:00:00',b'0.0',b'31.9',b'',b'',b'93',b'',b'081',b'3',b'',b'',b'',b'',b'1002.3',b'1011.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'07:00:00',b'0.0',b'31.5',b'',b'',b'91',b'',b'090',b'4',b'',b'',b'',b'',b'1001.3',b'1010.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'08:00:00',b'0.0',b'31.1',b'',b'',b'93',b'',b'069',b'5',b'',b'',b'',b'',b'1000.3',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'09:00:00',b'0.0',b'30.5',b'',b'',b'94',b'',b'082',b'6',b'',b'',b'',b'',b'1000.0',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'10:00:00',b'0.0',b'29.0',b'',b'',b'99',b'',b'071',b'7',b'',b'',b'',b'',b'999.9',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'12',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'11:00:00',b'0.0',b'27.9',b'',b'',b'99',b'',b'055',b'7',b'',b'',b'',b'',b'1000.2',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'13',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'12:00:00',b'0.0',b'27.5',b'',b'32.5',b'99',b'',b'057',b'5',b'',b'',b'',b'',b'1000.9',b'1009.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'14',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'13:00:00',b'0.0',b'27.4',b'',b'',b'99',b'',b'076',b'7',b'',b'',b'',b'',b'1001.8',b'1010.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'15',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'14:00:00',b'0.0',b'27.4',b'',b'',b'99',b'',b'058',b'5',b'',b'',b'',b'',b'1002.6',b'1011.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'16',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'15:00:00',b'0.0',b'27.3',b'',b'',b'99',b'',b'069',b'5',b'',b'',b'',b'',b'1003.2',b'1012.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'17',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'16:00:00',b'0.0',b'27.4',b'',b'',b'99',b'',b'064',b'4',b'',b'',b'',b'',b'1003.1',b'1012.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'18',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'18:00:00',b'0.0',b'27.7',b'',b'',b'99',b'',b'060',b'4',b'',b'',b'',b'',b'1002.3',b'1011.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'19',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'19:00:00',b'2.0',b'23.5',b'',b'',b'99',b'',b'087',b'15',b'',b'',b'',b'',b'1001.8',b'1010.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'20',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'20:00:00',b'8.0',b'23.7',b'',b'',b'',b'',b'101',b'6',b'',b'',b'',b'',b'1001.8',b'1010.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'21',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'22:00:00',b'13.0',b'24.7',b'',b'',b'3',b'',b'070',b'5',b'',b'',b'',b'',b'1000.8',b'1009.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'22',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2021-11-01',b'23:00:00',b'14.0',b'24.9',b'',b'',b'4',b'',b'068',b'5',b'',b'',b'',b'',b'1001.0',b'1010.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
