b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'04:00:00',b'0.0',b'32.0',b'',b'',b'89',b'',b'080',b'4',b'',b'',b'',b'',b'998.6',b'1007.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'05:00:00',b'0.0',b'32.3',b'',b'',b'88',b'',b'098',b'6',b'',b'',b'',b'',b'998.4',b'1007.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'06:00:00',b'0.0',b'31.9',b'',b'',b'87',b'',b'077',b'7',b'',b'',b'',b'',b'997.2',b'1006.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'07:00:00',b'0.0',b'32.0',b'',b'',b'90',b'',b'107',b'5',b'',b'',b'',b'',b'996.1',b'1004.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'08:00:00',b'0.0',b'30.9',b'',b'',b'93',b'',b'135',b'3',b'',b'',b'',b'',b'995.6',b'1004.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'09:00:00',b'5.0',b'27.0',b'',b'',b'99',b'',b'250',b'3',b'',b'',b'',b'',b'995.4',b'1004.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'10:00:00',b'5.0',b'28.9',b'',b'',b'98',b'',b'264',b'2',b'',b'',b'',b'',b'994.8',b'1003.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'11:00:00',b'5.0',b'29.1',b'',b'',b'99',b'',b'261',b'2',b'',b'',b'',b'',b'995.0',b'1003.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'12:00:00',b'5.0',b'28.7',b'',b'32.8',b'99',b'',b'275',b'2',b'',b'',b'',b'',b'995.7',b'1004.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2022-05-01',b'13:00:00',b'5.0',b'28.0',b'',b'',b'99',b'',b'258',b'3',b'',b'',b'',b'',b'996.5',b'1005.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
