b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'07:00:00',b'0.0',b'32.7',b'',b'',b'75',b'',b'272',b'2',b'6',b'',b'',b'',b'999.2',b'1003.4',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'3',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'07:15:00',b'0.0',b'33.4',b'',b'',b'70',b'',b'217',b'3',b'12',b'',b'',b'',b'999.1',b'1003.3',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'4',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'07:30:00',b'0.0',b'33.7',b'',b'',b'70',b'',b'195',b'1',b'8',b'',b'',b'',b'998.9',b'1003.1',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'5',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'07:45:00',b'0.0',b'33.5',b'',b'',b'70',b'',b'207',b'3',b'11',b'',b'',b'',b'998.8',b'1003.0',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'6',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'08:00:00',b'0.0',b'32.7',b'',b'',b'71',b'',b'232',b'4',b'14',b'',b'',b'',b'998.7',b'1002.9',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'7',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'08:15:00',b'0.0',b'32.6',b'',b'',b'72',b'',b'235',b'2',b'12',b'',b'',b'',b'998.5',b'1002.7',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'8',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'08:30:00',b'0.0',b'32.6',b'',b'',b'69',b'',b'269',b'1',b'9',b'',b'',b'',b'998.3',b'1002.5',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'9',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'08:45:00',b'0.0',b'33.0',b'',b'',b'68',b'',b'224',b'2',b'11',b'',b'',b'',b'998.0',b'1002.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'10',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'09:00:00',b'0.0',b'33.2',b'',b'',b'71',b'',b'255',b'1',b'9',b'',b'',b'',b'997.7',b'1001.9',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'11',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'09:15:00',b'0.0',b'33.3',b'',b'',b'71',b'',b'241',b'1',b'8',b'',b'',b'',b'997.5',b'1001.7',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'12',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'09:30:00',b'0.0',b'33.4',b'',b'',b'69',b'',b'238',b'2',b'8',b'',b'',b'',b'997.3',b'1001.5',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'13',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'09:45:00',b'0.0',b'33.3',b'',b'',b'68',b'',b'232',b'3',b'10',b'',b'',b'',b'997.2',b'1001.4',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'14',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'10:00:00',b'0.0',b'33.3',b'',b'',b'71',b'',b'255',b'2',b'6',b'',b'',b'',b'997.1',b'1001.3',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'15',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'10:15:00',b'0.0',b'33.4',b'',b'',b'69',b'',b'255',b'2',b'8',b'',b'',b'',b'997.0',b'1001.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'16',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'10:30:00',b'0.0',b'33.1',b'',b'',b'71',b'',b'234',b'2',b'8',b'',b'',b'',b'996.9',b'1001.1',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'17',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'10:45:00',b'0.0',b'33.3',b'',b'',b'66',b'',b'238',b'3',b'9',b'',b'',b'',b'997.0',b'1001.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'18',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'11:00:00',b'0.0',b'32.8',b'',b'',b'68',b'',b'227',b'3',b'9',b'',b'',b'',b'997.0',b'1001.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'19',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'11:15:00',b'0.0',b'32.6',b'',b'',b'69',b'',b'232',b'3',b'8',b'',b'',b'',b'997.0',b'1001.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'20',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'11:30:00',b'0.0',b'32.5',b'',b'',b'69',b'',b'232',b'3',b'9',b'',b'',b'',b'997.0',b'1001.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'21',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'11:45:00',b'0.0',b'32.2',b'',b'',b'70',b'',b'209',b'3',b'7',b'',b'',b'',b'997.0',b'1001.2',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'22',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'12:00:00',b'0.0',b'32.1',b'',b'34.1',b'74',b'',b'208',b'1',b'6',b'',b'',b'',b'997.1',b'1001.3',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'23',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'12:15:00',b'0.0',b'31.7',b'',b'',b'75',b'',b'196',b'1',b'5',b'',b'',b'',b'997.3',b'1001.6',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'24',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'12:30:00',b'0.0',b'31.5',b'',b'',b'78',b'',b'212',b'0',b'4',b'',b'',b'',b'997.3',b'1001.6',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'25',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'13:00:00',b'0.0',b'30.9',b'',b'',b'88',b'',b'243',b'0',b'3',b'',b'',b'',b'997.5',b'1001.8',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'26',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'13:15:00',b'0.0',b'30.5',b'',b'',b'88',b'',b'221',b'1',b'4',b'',b'',b'',b'997.7',b'1002.0',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'27',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'13:30:00',b'0.0',b'30.7',b'',b'',b'86',b'',b'210',b'1',b'6',b'',b'',b'',b'998.0',b'1002.3',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'28',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'13:45:00',b'0.0',b'30.7',b'',b'',b'84',b'',b'224',b'1',b'5',b'',b'',b'',b'998.3',b'1002.6',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'29',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'14:00:00',b'0.0',b'31.2',b'',b'',b'78',b'',b'239',b'2',b'7',b'',b'',b'',b'998.6',b'1002.9',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'30',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'14:15:00',b'0.0',b'31.6',b'',b'',b'69',b'',b'236',b'3',b'10',b'',b'',b'',b'998.8',b'1003.1',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
b'31',b'PUDUCHERRY',b'PUDUCHERRY',b'2023-07-05',b'14:30:00',b'0.0',b'31.7',b'',b'',b'68',b'',b'260',b'1',b'10',b'',b'',b'',b'999.0',b'1003.3',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.3',b'L'
