b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'01:00:00',b'0',b'12.7',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'980.3',b'1015.2',b'00.00',b'',b'9',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'02:00:00',b'0',b'14.0',b'',b'',b'99',b'',b'307',b'1',b'',b'',b'',b'',b'981.0',b'1015.7',b'00.18',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'13.4',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'03:00:00',b'0',b'19.4',b'11.3',b'',b'99',b'',b'301',b'2',b'',b'',b'',b'',b'981.4',b'1015.5',b'01.04',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'04:00:00',b'0',b'24.4',b'',b'',b'99',b'',b'214',b'2',b'',b'',b'',b'',b'981.2',b'1014.7',b'02.04',b'',b'13',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'05:00:00',b'0',b'26.2',b'',b'',b'99',b'',b'279',b'4',b'',b'',b'',b'',b'980.6',b'1013.9',b'03.04',b'',b'13',b'',b'',b'',b'',b'',b'',b'',b'',b'15.1',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'13:00:00',b'0',b'19.7',b'',b'',b'99',b'',b'123',b'1',b'',b'',b'',b'',b'976.6',b'1010.5',b'07.20',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'U'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'14:00:00',b'0',b'18.5',b'',b'',b'99',b'',b'334',b'1',b'',b'',b'',b'',b'977.5',b'1011.5',b'07.20',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'15:00:00',b'0',b'17.9',b'',b'',b'99',b'',b'106',b'2',b'',b'',b'',b'',b'978.3',b'1012.4',b'07.20',b'',b'13',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'16:00:00',b'0',b'16.8',b'',b'',b'99',b'',b'224',b'1',b'',b'',b'',b'',b'979.0',b'1013.3',b'07.20',b'',b'13',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'17:00:00',b'0',b'16.2',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'978.9',b'1013.3',b'07.20',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'12',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'18:00:00',b'0',b'15.5',b'',b'',b'99',b'',b'128',b'2',b'',b'',b'',b'',b'979.0',b'1013.5',b'07.20',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'13',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'19:00:00',b'0',b'14.8',b'',b'',b'99',b'',b'292',b'1',b'',b'',b'',b'',b'978.5',b'1013.0',b'07.20',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'14',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'20:00:00',b'0',b'14.2',b'',b'',b'99',b'',b'272',b'1',b'',b'',b'',b'',b'978.1',b'1012.7',b'07.20',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'15',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'21:00:00',b'0',b'13.8',b'',b'',b'99',b'',b'128',b'1',b'',b'',b'',b'',b'977.8',b'1012.4',b'00.00',b'',b'7',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'16',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'22:00:00',b'0',b'13.4',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'977.5',b'1012.2',b'00.00',b'',b'6',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'17',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-01',b'23:00:00',b'0',b'13.0',b'',b'',b'99',b'',b'133',b'2',b'',b'',b'',b'',b'978.1',b'1012.8',b'00.00',b'',b'6',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'18',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-02',b'00:00:00',b'0',b'12.6',b'',b'',b'99',b'',b'238',b'1',b'',b'',b'',b'',b'978.2',b'1013.0',b'00.00',b'',b'6',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'19',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-02',b'01:00:00',b'0',b'13.2',b'',b'',b'99',b'',b'128',b'1',b'',b'',b'',b'',b'978.9',b'1013.6',b'00.00',b'',b'7',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'20',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-02',b'02:00:00',b'0',b'16.0',b'',b'',b'99',b'',b'161',b'1',b'',b'',b'',b'',b'979.8',b'1014.2',b'00.17',b'',b'8',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'21',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-03-02',b'03:00:00',b'0',b'20.7',b'12.4',b'',b'99',b'',b'248',b'2',b'',b'',b'',b'',b'980.0',b'1013.9',b'01.04',b'',b'9',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
