b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'HAA',b'HAA',b'2021-06-01',b'14:00:00',b'0.0',b'14.3',b'',b'',b'',b'',b'214',b'1',b'',b'',b'',b'',b'726.8',b'2447.0',b'10.19',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'3',b'HAA',b'HAA',b'2021-06-01',b'15:00:00',b'0.0',b'14.0',b'',b'',b'',b'',b'141',b'3',b'',b'',b'',b'',b'727.1',b'2454.5',b'10.19',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'4',b'HAA',b'HAA',b'2021-06-01',b'16:00:00',b'0.0',b'13.2',b'',b'',b'',b'',b'209',b'1',b'',b'',b'',b'',b'727.8',b'2474.0',b'10.19',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'5',b'HAA',b'HAA',b'2021-06-01',b'17:00:00',b'0.0',b'13.4',b'',b'',b'',b'',b'152',b'2',b'',b'',b'',b'',b'727.9',b'2469.6',b'10.19',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'6',b'TRONGSA',b'TRONGSA',b'2021-06-01',b'04:00:00',b'0.0',b'18.9',b'',b'',b'',b'',b'204',b'4',b'',b'',b'',b'',b'782.6',b'1838.3',b'03.17',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'7',b'TRONGSA',b'TRONGSA',b'2021-06-01',b'05:00:00',b'0.0',b'20.2',b'',b'',b'',b'',b'226',b'4',b'',b'',b'',b'',b'782.4',b'1815.1',b'04.17',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'8',b'TRONGSA',b'TRONGSA',b'2021-06-01',b'06:00:00',b'0.0',b'22.5',b'',b'',b'',b'',b'237',b'6',b'',b'',b'',b'',b'782.0',b'1773.8',b'05.17',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'9',b'TRONGSA',b'TRONGSA',b'2021-06-01',b'07:00:00',b'0.0',b'21.3',b'',b'',b'',b'',b'200',b'4',b'',b'',b'',b'',b'781.2',b'1793.3',b'06.17',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'10',b'TRONGSA',b'TRONGSA',b'2021-06-01',b'08:00:00',b'0.0',b'21.6',b'',b'',b'',b'',b'242',b'7',b'',b'',b'',b'',b'780.6',b'1786.7',b'07.17',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'11',b'TRONGSA',b'TRONGSA',b'2021-06-01',b'09:00:00',b'0.0',b'21.1',b'',b'',b'',b'',b'203',b'6',b'',b'',b'',b'',b'780.3',b'1794.9',b'08.17',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
