b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'04:00:00',b'0',b'31.0',b'',b'',b'97',b'',b'289',b'3',b'',b'',b'',b'',b'971.6',b'1004.0',b'02.04',b'',b'28',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'05:00:00',b'0',b'31.0',b'',b'',b'96',b'',b'315',b'5',b'',b'',b'',b'',b'970.9',b'1003.3',b'03.04',b'34.0',b'32',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'06:00:00',b'0',b'32.9',b'',b'',b'83',b'',b'293',b'4',b'',b'',b'',b'',b'970.0',b'1002.2',b'04.04',b'',b'36',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'07:00:00',b'0',b'33.5',b'',b'',b'73',b'',b'262',b'4',b'',b'',b'',b'',b'969.0',b'1001.1',b'05.04',b'',b'41',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'08:00:00',b'0',b'33.9',b'',b'',b'63',b'',b'168',b'3',b'',b'',b'',b'',b'968.0',b'1000.0',b'06.04',b'7.9',b'43',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'09:00:00',b'0',b'34.1',b'',b'',b'62',b'',b'252',b'2',b'',b'',b'',b'',b'966.8',b'998.7',b'07.04',b'',b'47',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'10:00:00',b'0',b'34.1',b'',b'',b'59',b'',b'314',b'4',b'',b'',b'',b'',b'965.8',b'997.7',b'08.04',b'',b'53',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'11:00:00',b'0',b'33.6',b'',b'',b'66',b'',b'295',b'2',b'',b'',b'',b'',b'965.9',b'997.9',b'09.04',b'',b'40',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'12:00:00',b'0',b'30.9',b'',b'34.7',b'87',b'',b'030',b'2',b'',b'',b'',b'',b'966.3',b'998.6',b'09.09',b'',b'39',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'13:00:00',b'0',b'28.5',b'',b'',b'99',b'',b'083',b'1',b'',b'',b'',b'',b'967.4',b'1000.0',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'12',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'14:00:00',b'0',b'27.5',b'',b'',b'99',b'',b'115',b'3',b'',b'',b'',b'',b'968.2',b'1000.9',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'13',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'15:00:00',b'0',b'26.7',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'968.9',b'1001.7',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'14',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'16:00:00',b'0',b'26.5',b'',b'',b'99',b'',b'103',b'1',b'',b'',b'',b'',b'969.4',b'1002.2',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'15',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'17:00:00',b'0',b'26.2',b'',b'',b'99',b'',b'075',b'2',b'',b'',b'',b'',b'969.5',b'1002.4',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'16',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'18:00:00',b'0',b'25.9',b'',b'',b'99',b'',b'056',b'1',b'',b'',b'',b'',b'969.3',b'1002.2',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'17',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'19:00:00',b'0',b'26.0',b'',b'',b'99',b'',b'127',b'1',b'',b'',b'',b'',b'969.3',b'1002.2',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'18',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-08-01',b'20:00:00',b'0',b'26.1',b'',b'',b'99',b'',b'276',b'1',b'',b'',b'',b'',b'969.1',b'1002.0',b'09.09',b'',b'38',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
