b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'GASA',b'GASA',b'2022-09-16',b'05:00:00',b'0.0',b'18.7',b'',b'',b'',b'',b'213',b'6',b'',b'',b'',b'',b'716.6',b'2411.8',b'03.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'3',b'GASA',b'GASA',b'2022-09-16',b'09:00:00',b'0.0',b'17.4',b'',b'',b'',b'',b'192',b'3',b'',b'',b'',b'',b'714.5',b'2439.4',b'07.55',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'4',b'GASA',b'GASA',b'2022-09-17',b'03:00:00',b'0.0',b'14.9',b'',b'',b'',b'',b'121',b'3',b'',b'',b'',b'',b'718.1',b'2506.9',b'01.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'5',b'GASA',b'GASA',b'2022-09-17',b'04:00:00',b'0.0',b'15.2',b'',b'',b'',b'',b'210',b'4',b'',b'',b'',b'',b'718.5',b'2500.3',b'02.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'6',b'GASA',b'GASA',b'2022-09-17',b'05:00:00',b'0.0',b'17.3',b'',b'',b'26',b'',b'175',b'3',b'',b'',b'',b'',b'718.5',b'2449.5',b'03.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'7',b'GASA',b'GASA',b'2022-09-17',b'06:00:00',b'0.0',b'14.9',b'',b'',b'',b'',b'219',b'2',b'',b'',b'',b'',b'718.2',b'2507.0',b'04.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'8',b'GASA',b'GASA',b'2022-09-17',b'07:00:00',b'0.0',b'15.5',b'',b'',b'',b'',b'205',b'2',b'',b'',b'',b'',b'717.8',b'2491.8',b'05.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'9',b'GASA',b'GASA',b'2022-09-17',b'08:00:00',b'0.0',b'16.0',b'',b'',b'',b'',b'216',b'3',b'',b'',b'',b'',b'717.2',b'2478.7',b'06.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'10',b'GASA',b'GASA',b'2022-09-17',b'13:00:00',b'0.0',b'13.6',b'',b'',b'',b'',b'279',b'2',b'',b'',b'',b'',b'717.6',b'2537.6',b'06.39',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'11',b'GASA',b'GASA',b'2022-09-18',b'03:00:00',b'0.0',b'15.0',b'',b'',b'',b'',b'220',b'2',b'',b'',b'',b'',b'719.9',b'2507.4',b'02.15',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
