b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'01:00:00',b'0.0',b'25.5',b'',b'',b'91',b'',b'359',b'0',b'',b'',b'',b'',b'948.0',b'1009.7',b'00.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'3',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'02:00:00',b'0.0',b'23.3',b'',b'',b'85',b'',b'327',b'2',b'',b'',b'',b'',b'948.2',b'1010.3',b'01.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'4',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'03:00:00',b'0.0',b'26.7',b'20.6',b'',b'76',b'',b'051',b'2',b'',b'',b'',b'',b'947.8',b'1009.2',b'02.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'5',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'04:00:00',b'0.0',b'29.0',b'',b'',b'63',b'',b'162',b'1',b'',b'',b'',b'',b'947.5',b'1008.4',b'03.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'6',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'05:00:00',b'0.0',b'31.0',b'',b'',b'53',b'',b'252',b'2',b'',b'',b'',b'',b'947.4',b'1007.9',b'04.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'7',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'06:00:00',b'0.0',b'33.5',b'',b'',b'45',b'',b'192',b'1',b'',b'',b'',b'',b'946.5',b'1006.4',b'05.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'8',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'07:00:00',b'0.0',b'36.2',b'',b'',b'44',b'',b'101',b'4',b'',b'',b'',b'',b'945.1',b'1004.4',b'06.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'9',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'08:00:00',b'0.0',b'33.9',b'',b'',b'40',b'',b'223',b'3',b'',b'',b'',b'',b'944.1',b'1003.8',b'07.22',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'10',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'09:00:00',b'1.0',b'32.9',b'',b'',b'60',b'',b'042',b'3',b'',b'',b'',b'',b'943.2',b'1003.0',b'08.22',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'11',b'NUWAKOT',b'TRISHULI',b'2021-05-01',b'10:00:00',b'1.0',b'32.4',b'',b'',b'52',b'',b'103',b'3',b'',b'',b'',b'',b'943.3',b'1003.2',b'08.25',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
