b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'02:00:00',b'0',b'29.3',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'972.2',b'1004.8',b'01.11',b'',b'10',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'03:00:00',b'0',b'30.4',b'24.5',b'',b'99',b'',b'171',b'1',b'',b'',b'',b'',b'972.2',b'1004.7',b'02.11',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'04:00:00',b'0',b'30.2',b'',b'',b'99',b'',b'251',b'2',b'',b'',b'',b'',b'972.0',b'1004.5',b'03.11',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'05:00:00',b'0',b'30.8',b'',b'',b'99',b'',b'317',b'3',b'',b'',b'',b'',b'971.4',b'1003.8',b'04.11',b'',b'13',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'06:00:00',b'0',b'30.6',b'',b'',b'99',b'',b'268',b'5',b'',b'',b'',b'',b'970.3',b'1002.7',b'05.11',b'',b'12',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'07:00:00',b'0',b'26.3',b'',b'',b'99',b'',b'123',b'7',b'',b'',b'',b'',b'969.7',b'1002.6',b'05.51',b'',b'10',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'11:00:00',b'46',b'23.8',b'',b'',b'99',b'',b'259',b'1',b'',b'',b'',b'',b'969.6',b'1002.8',b'05.51',b'',b'10',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'12:00:00',b'46',b'23.7',b'',b'',b'99',b'',b'275',b'1',b'',b'',b'',b'',b'970.0',b'1003.2',b'05.51',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'13:00:00',b'46',b'23.6',b'',b'',b'99',b'',b'181',b'1',b'',b'',b'',b'',b'970.4',b'1003.6',b'05.51',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-10-01',b'14:00:00',b'46',b'23.5',b'',b'',b'99',b'',b'244',b'1',b'',b'',b'',b'',b'971.3',b'1004.6',b'05.51',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
