b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'HAA',b'HAA',b'2020-04-01',b'01:00:00',b'0',b'5.4',b'',b'',b'',b'',b'185',b'2',b'',b'',b'',b'',b'729.1',b'2655.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'3',b'HAA',b'HAA',b'2020-04-01',b'10:00:00',b'0',b'10.3',b'',b'',b'',b'',b'324',b'5',b'',b'',b'',b'',b'726.0',b'2539.2',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'4',b'HAA',b'HAA',b'2020-04-01',b'11:00:00',b'1',b'5.1',b'',b'',b'',b'',b'292',b'4',b'',b'',b'',b'',b'727.0',b'2661.2',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'5',b'HAA',b'HAA',b'2020-04-01',b'12:00:00',b'5',b'2.2',b'',b'',b'',b'',b'306',b'3',b'',b'',b'',b'',b'727.4',b'2728.7',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'6',b'HAA',b'HAA',b'2020-04-01',b'13:00:00',b'9',b'0.9',b'',b'',b'',b'',b'164',b'3',b'',b'',b'',b'',b'727.8',b'2758.9',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'7',b'HAA',b'HAA',b'2020-04-01',b'14:00:00',b'12',b'1.3',b'',b'',b'',b'',b'208',b'1',b'',b'',b'',b'',b'728.3',b'2749.7',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'8',b'HAA',b'HAA',b'2020-04-01',b'15:00:00',b'13',b'1.7',b'',b'',b'',b'',b'173',b'3',b'',b'',b'',b'',b'728.8',b'2740.5',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'9',b'HAA',b'HAA',b'2020-04-01',b'16:00:00',b'15',b'2.0',b'',b'',b'',b'',b'123',b'2',b'',b'',b'',b'',b'728.5',b'2733.6',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'10',b'HAA',b'HAA',b'2020-04-01',b'17:00:00',b'16',b'2.2',b'',b'',b'',b'',b'293',b'1',b'',b'',b'',b'',b'728.3',b'2728.9',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'11',b'HAA',b'HAA',b'2020-04-01',b'18:00:00',b'17',b'2.2',b'',b'',b'',b'',b'316',b'3',b'',b'',b'',b'',b'727.9',b'2728.8',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'12',b'HAA',b'HAA',b'2020-04-01',b'20:00:00',b'18',b'2.4',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'726.9',b'2723.9',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'13',b'HAA',b'HAA',b'2020-04-01',b'21:00:00',b'18',b'2.5',b'',b'',b'',b'',b'300',b'1',b'',b'',b'',b'',b'726.6',b'2721.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'14',b'HAA',b'HAA',b'2020-04-01',b'22:00:00',b'18',b'1.9',b'',b'',b'',b'',b'251',b'2',b'',b'',b'',b'',b'726.3',b'2735.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'15',b'HAA',b'HAA',b'2020-04-01',b'23:00:00',b'18',b'1.5',b'',b'',b'',b'',b'276',b'1',b'',b'',b'',b'',b'726.3',b'2744.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'16',b'HAA',b'HAA',b'2020-04-02',b'00:00:00',b'18',b'1.4',b'',b'',b'',b'',b'300',b'1',b'',b'',b'',b'',b'726.7',b'2747.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'17',b'HAA',b'HAA',b'2020-04-02',b'01:00:00',b'18',b'3.1',b'',b'',b'',b'',b'289',b'3',b'',b'',b'',b'',b'727.3',b'2707.8',b'00.16',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'18',b'HAA',b'HAA',b'2020-04-02',b'02:00:00',b'18',b'6.0',b'',b'',b'',b'',b'143',b'2',b'',b'',b'',b'',b'727.8',b'2640.8',b'00.20',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'19',b'HAA',b'HAA',b'2020-04-02',b'12:00:00',b'0',b'6.8',b'',b'',b'',b'',b'162',b'5',b'',b'',b'',b'',b'726.0',b'2620.9',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'20',b'HAA',b'HAA',b'2020-04-02',b'13:00:00',b'1',b'5.3',b'',b'',b'',b'',b'260',b'1',b'',b'',b'',b'',b'726.7',b'2656.4',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'21',b'HAA',b'HAA',b'2020-04-02',b'14:00:00',b'2',b'4.0',b'',b'',b'',b'',b'303',b'4',b'',b'',b'',b'',b'727.9',b'2687.1',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'22',b'HAA',b'HAA',b'2020-04-02',b'15:00:00',b'4',b'3.8',b'',b'',b'',b'',b'281',b'2',b'',b'',b'',b'',b'728.7',b'2692.1',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'23',b'HAA',b'HAA',b'2020-04-02',b'16:00:00',b'6',b'3.5',b'',b'',b'',b'',b'255',b'2',b'',b'',b'',b'',b'728.5',b'2698.9',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'24',b'HAA',b'HAA',b'2020-04-02',b'17:00:00',b'6',b'1.8',b'',b'',b'',b'',b'302',b'2',b'',b'',b'',b'',b'728.5',b'2738.2',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'25',b'HAA',b'HAA',b'2020-04-02',b'18:00:00',b'7',b'1.1',b'',b'',b'',b'',b'237',b'1',b'',b'',b'',b'',b'728.4',b'2754.3',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'26',b'HAA',b'HAA',b'2020-04-02',b'19:00:00',b'7',b'0.6',b'',b'',b'',b'',b'314',b'1',b'',b'',b'',b'',b'728.3',b'2765.9',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'27',b'HAA',b'HAA',b'2020-04-02',b'20:00:00',b'7',b'0.1',b'',b'',b'',b'',b'230',b'1',b'',b'',b'',b'',b'728.2',b'2777.4',b'07.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'28',b'HAA',b'HAA',b'2020-04-02',b'21:00:00',b'8',b'-0.1',b'',b'',b'',b'',b'313',b'1',b'',b'',b'',b'',b'727.9',b'2782.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'29',b'HAA',b'HAA',b'2020-04-02',b'22:00:00',b'8',b'-0.2',b'',b'',b'',b'',b'231',b'2',b'',b'',b'',b'',b'727.8',b'2784.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'30',b'HAA',b'HAA',b'2020-04-02',b'23:00:00',b'8',b'-0.6',b'',b'',b'',b'',b'302',b'1',b'',b'',b'',b'',b'728.3',b'2793.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'31',b'HAA',b'HAA',b'2020-04-03',b'00:00:00',b'8',b'-0.9',b'',b'',b'',b'',b'222',b'2',b'',b'',b'',b'',b'728.6',b'2800.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'32',b'HAA',b'HAA',b'2020-04-03',b'01:00:00',b'8',b'0.3',b'',b'',b'',b'',b'263',b'1',b'',b'',b'',b'',b'729.2',b'2772.8',b'00.16',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'33',b'HAA',b'HAA',b'2020-04-03',b'02:00:00',b'8',b'3.4',b'',b'',b'',b'',b'070',b'2',b'',b'',b'',b'',b'729.3',b'2701.5',b'00.20',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'34',b'HAA',b'HAA',b'2020-04-03',b'11:00:00',b'0',b'11.3',b'',b'',b'',b'',b'179',b'6',b'',b'',b'',b'',b'725.8',b'2515.6',b'07.37',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'35',b'HAA',b'HAA',b'2020-04-03',b'12:00:00',b'0',b'10.6',b'',b'',b'',b'',b'183',b'4',b'',b'',b'',b'',b'726.0',b'2532.2',b'07.37',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'36',b'HAA',b'HAA',b'2020-04-03',b'13:00:00',b'0',b'9.3',b'',b'',b'',b'',b'211',b'4',b'',b'',b'',b'',b'726.8',b'2563.4',b'07.37',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'37',b'HAA',b'HAA',b'2020-04-03',b'15:00:00',b'0',b'6.4',b'',b'',b'',b'',b'283',b'2',b'',b'',b'',b'',b'728.2',b'2631.8',b'07.37',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'38',b'HAA',b'HAA',b'2020-04-03',b'16:00:00',b'0',b'4.4',b'',b'',b'',b'',b'310',b'2',b'',b'',b'',b'',b'728.6',b'2678.2',b'07.37',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
