b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-12',b'04:00:00',b'0.0',b'20.0',b'',b'',b'56',b'',b'146',b'1',b'',b'',b'',b'',b'888.3',b'1025.3',b'01.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'3',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-12',b'05:00:00',b'0.0',b'20.9',b'',b'',b'54',b'',b'181',b'1',b'',b'',b'',b'',b'887.3',b'1016.2',b'02.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'4',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-12',b'06:00:00',b'0.0',b'23.4',b'',b'',b'47',b'',b'252',b'1',b'',b'',b'',b'',b'886.3',b'993.4',b'03.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'5',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-12',b'07:00:00',b'0.0',b'23.7',b'',b'',b'41',b'',b'195',b'3',b'',b'',b'',b'',b'885.0',b'988.4',b'04.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'6',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-12',b'08:00:00',b'0.0',b'24.0',b'',b'',b'46',b'',b'216',b'2',b'',b'',b'',b'',b'883.9',b'983.7',b'05.13',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.0',b'L'
b'7',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-13',b'05:00:00',b'0.0',b'20.8',b'',b'',b'56',b'',b'213',b'2',b'',b'',b'',b'',b'886.1',b'1015.0',b'02.12',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.1',b'L'
b'8',b'NORTH_SIKKIM',b'MANGAN',b'2020-11-13',b'06:00:00',b'0.0',b'22.6',b'',b'',b'46',b'',b'190',b'1',b'',b'',b'',b'',b'884.8',b'997.4',b'03.12',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'9',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'00:00:00',b'0.0',b'14.1',b'',b'',b'91',b'',b'359',b'0',b'',b'',b'',b'',b'908.7',b'1302.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'10',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'01:00:00',b'0.0',b'14.4',b'',b'',b'91',b'',b'359',b'0',b'',b'',b'',b'',b'909.1',b'1301.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'11',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'02:00:00',b'0.0',b'15.7',b'',b'',b'85',b'',b'359',b'0',b'',b'',b'',b'',b'909.9',b'1293.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'12',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'05:00:00',b'0.0',b'24.3',b'',b'',b'68',b'',b'359',b'0',b'',b'',b'',b'',b'909.8',b'1237.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'13',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'06:00:00',b'0.0',b'24.4',b'',b'',b'60',b'',b'359',b'0',b'',b'',b'',b'',b'909.2',b'1235.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'14',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'07:00:00',b'0.0',b'23.6',b'',b'',b'69',b'',b'359',b'0',b'',b'',b'',b'',b'908.6',b'1239.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'15',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'08:00:00',b'0.0',b'23.2',b'',b'',b'66',b'',b'359',b'0',b'',b'',b'',b'',b'907.9',b'1241.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'16',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'09:00:00',b'0.0',b'22.3',b'',b'',b'65',b'',b'359',b'0',b'',b'',b'',b'',b'907.5',b'1246.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'17',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'10:00:00',b'0.0',b'21.1',b'',b'',b'76',b'',b'359',b'0',b'',b'',b'',b'',b'907.3',b'1254.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.4',b'L'
b'18',b'SOUTH_SIKKIM',b'NAMCHI',b'2020-11-01',b'11:00:00',b'0.0',b'18.9',b'',b'',b'89',b'',b'359',b'0',b'',b'',b'',b'',b'907.3',b'1269.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
