b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'02:00:00',b'0.0',b'',b'',b'',b'',b'',b'219',b'1',b'',b'',b'',b'',b'977.7',b'1020.5',b'00.47',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'04:00:00',b'0.0',b'',b'',b'',b'',b'',b'253',b'5',b'',b'',b'',b'',b'976.7',b'1019.5',b'02.47',b'33.9',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'05:00:00',b'0.0',b'',b'',b'',b'',b'',b'274',b'4',b'',b'',b'',b'',b'976.5',b'1019.3',b'03.47',b'41.5',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'06:00:00',b'0.0',b'',b'',b'',b'',b'',b'275',b'4',b'',b'',b'',b'',b'975.8',b'1018.5',b'04.47',b'5.9',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'07:00:00',b'0.0',b'',b'',b'',b'',b'',b'270',b'5',b'',b'',b'',b'',b'974.2',b'1016.9',b'05.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'08:00:00',b'0.0',b'',b'',b'',b'',b'',b'295',b'6',b'',b'',b'',b'',b'972.9',b'1015.5',b'06.40',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'09:00:00',b'0.0',b'',b'',b'',b'',b'',b'148',b'8',b'',b'',b'',b'',b'973.3',b'1015.9',b'07.04',b'35.4',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'10:00:00',b'1.0',b'',b'',b'',b'',b'',b'332',b'11',b'',b'',b'',b'',b'974.5',b'1017.2',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'11:00:00',b'1.0',b'',b'',b'',b'',b'',b'134',b'7',b'',b'',b'',b'',b'975.0',b'1017.7',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'12:00:00',b'2.0',b'',b'',b'',b'',b'',b'128',b'3',b'',b'',b'',b'',b'975.5',b'1018.2',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'12',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'13:00:00',b'3.0',b'',b'',b'',b'',b'',b'268',b'3',b'',b'',b'',b'',b'976.2',b'1018.9',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'13',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'14:00:00',b'3.0',b'',b'',b'',b'',b'',b'311',b'2',b'',b'',b'',b'',b'976.8',b'1019.6',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'14',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'15:00:00',b'3.0',b'',b'',b'',b'',b'',b'206',b'1',b'',b'',b'',b'',b'977.3',b'1020.1',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'15',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'16:00:00',b'3.0',b'',b'',b'',b'',b'',b'262',b'1',b'',b'',b'',b'',b'977.1',b'1019.9',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'16',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'17:00:00',b'3.0',b'',b'',b'',b'',b'',b'243',b'1',b'',b'',b'',b'',b'976.9',b'1019.7',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'17',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'18:00:00',b'3.0',b'',b'',b'',b'',b'',b'292',b'1',b'',b'',b'',b'',b'977.1',b'1019.9',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'18',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'19:00:00',b'4.0',b'',b'',b'',b'',b'',b'283',b'2',b'',b'',b'',b'',b'976.6',b'1019.4',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'19',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'20:00:00',b'4.0',b'',b'',b'',b'',b'',b'359',b'0',b'',b'',b'',b'',b'976.3',b'1019.0',b'07.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'20',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-05-01',b'21:00:00',b'4.0',b'',b'',b'',b'',b'',b'123',b'3',b'',b'',b'',b'',b'976.7',b'1019.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
