b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'GASA',b'GASA',b'2022-03-02',b'04:00:00',b'0.0',b'5.7',b'',b'',b'',b'',b'177',b'5',b'',b'',b'',b'',b'721.1',b'2731.5',b'02.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'3',b'GASA',b'GASA',b'2022-03-02',b'05:00:00',b'0.0',b'7.5',b'',b'',b'',b'',b'194',b'5',b'',b'',b'',b'',b'720.5',b'2688.0',b'03.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'4',b'GASA',b'GASA',b'2022-03-02',b'06:00:00',b'0.0',b'9.2',b'',b'',b'',b'',b'188',b'9',b'',b'',b'',b'',b'719.5',b'2646.3',b'04.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'5',b'GASA',b'GASA',b'2022-03-02',b'07:00:00',b'0.0',b'10.0',b'',b'',b'',b'',b'153',b'7',b'',b'',b'',b'',b'718.4',b'2625.8',b'05.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'6',b'GASA',b'GASA',b'2022-03-02',b'08:00:00',b'0.0',b'10.7',b'',b'',b'',b'',b'203',b'10',b'',b'',b'',b'',b'717.6',b'2608.0',b'06.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'7',b'GASA',b'GASA',b'2022-03-03',b'06:00:00',b'0.0',b'8.4',b'',b'',b'',b'',b'254',b'4',b'',b'',b'',b'',b'719.4',b'2665.4',b'04.30',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'8',b'GASA',b'GASA',b'2022-03-04',b'04:00:00',b'0.0',b'8.5',b'',b'',b'',b'',b'179',b'5',b'',b'',b'',b'',b'719.0',b'2662.7',b'02.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'9',b'GASA',b'GASA',b'2022-03-04',b'07:00:00',b'0.0',b'9.9',b'',b'',b'',b'',b'178',b'6',b'',b'',b'',b'',b'716.6',b'2626.3',b'05.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'10',b'GASA',b'GASA',b'2022-03-04',b'08:00:00',b'0.0',b'10.8',b'',b'',b'',b'',b'182',b'5',b'',b'',b'',b'',b'714.7',b'2602.1',b'06.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'11',b'GASA',b'GASA',b'2022-03-05',b'04:00:00',b'0.0',b'5.4',b'',b'',b'',b'',b'182',b'3',b'',b'',b'',b'',b'718.6',b'2737.2',b'02.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'12',b'GASA',b'GASA',b'2022-03-05',b'05:00:00',b'0.0',b'8.3',b'',b'',b'',b'',b'205',b'5',b'',b'',b'',b'',b'718.1',b'2666.7',b'03.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'13',b'GASA',b'GASA',b'2022-03-05',b'06:00:00',b'0.0',b'10.8',b'',b'',b'',b'',b'170',b'5',b'',b'',b'',b'',b'717.1',b'2605.0',b'04.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'14',b'GASA',b'GASA',b'2022-03-05',b'07:00:00',b'0.0',b'10.2',b'',b'',b'',b'',b'204',b'8',b'',b'',b'',b'',b'716.1',b'2618.4',b'05.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'15',b'GASA',b'GASA',b'2022-03-05',b'08:00:00',b'0.0',b'12.2',b'',b'',b'',b'',b'201',b'6',b'',b'',b'',b'',b'715.2',b'2568.3',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'16',b'GASA',b'GASA',b'2022-03-05',b'10:00:00',b'0.0',b'10.9',b'',b'',b'',b'',b'222',b'4',b'',b'',b'',b'',b'714.9',b'2599.9',b'08.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'17',b'GASA',b'GASA',b'2022-03-05',b'11:00:00',b'0.0',b'8.8',b'',b'',b'',b'',b'300',b'2',b'',b'',b'',b'',b'715.4',b'2651.9',b'09.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'18',b'GASA',b'GASA',b'2022-03-06',b'03:00:00',b'0.0',b'13.5',b'',b'',b'',b'',b'186',b'3',b'',b'',b'',b'',b'721.1',b'2545.2',b'01.38',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
