b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'03:00:00',b'0.0',b'16.1',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'909.7',b'1290.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'3',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'04:00:00',b'0.0',b'15.9',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'910.5',b'1293.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'4',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'05:00:00',b'1.0',b'15.3',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'910.9',b'1297.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'5',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'06:00:00',b'2.0',b'15.6',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'910.6',b'1295.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'6',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'07:00:00',b'2.0',b'15.7',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'909.8',b'1293.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'7',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'08:00:00',b'2.0',b'16.5',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'908.4',b'1286.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'8',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'09:00:00',b'2.0',b'16.8',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'907.8',b'1283.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.2',b'L'
b'9',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'10:00:00',b'2.0',b'16.6',b'',b'',b'99',b'',b'359',b'0',b'',b'',b'',b'',b'907.4',b'1284.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'10',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'11:00:00',b'2.0',b'17.6',b'',b'',b'97',b'',b'359',b'0',b'',b'',b'',b'',b'907.0',b'1277.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'11',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-05-01',b'12:00:00',b'2.0',b'16.6',b'',b'17.6',b'95',b'',b'359',b'0',b'',b'',b'',b'',b'907.3',b'1284.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
