b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'04:00:00',b'0',b'27.5',b'',b'',b'99',b'',b'308',b'3',b'',b'',b'',b'',b'976.8',b'1009.8',b'02.40',b'',b'15',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'05:00:00',b'0',b'29.1',b'',b'',b'91',b'',b'261',b'2',b'',b'',b'',b'',b'976.4',b'1009.2',b'03.40',b'',b'16',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'06:00:00',b'0',b'29.0',b'',b'',b'90',b'',b'274',b'3',b'',b'',b'',b'',b'975.6',b'1008.4',b'04.40',b'37.3',b'17',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'07:00:00',b'0',b'30.8',b'',b'',b'83',b'',b'312',b'4',b'',b'',b'',b'',b'974.6',b'1007.1',b'05.40',b'',b'18',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'08:00:00',b'0',b'31.3',b'',b'',b'63',b'',b'215',b'5',b'',b'',b'',b'',b'973.9',b'1006.4',b'06.40',b'',b'18',b'',b'',b'',b'',b'',b'',b'',b'',b'15.2',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'09:00:00',b'0',b'30.4',b'',b'',b'67',b'',b'247',b'4',b'',b'',b'',b'',b'973.4',b'1006.0',b'07.26',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'10:00:00',b'0',b'29.5',b'',b'',b'75',b'',b'283',b'5',b'',b'',b'',b'',b'972.7',b'1005.3',b'07.37',b'',b'14',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'11:00:00',b'0',b'28.9',b'',b'',b'83',b'',b'300',b'4',b'',b'',b'',b'',b'972.5',b'1005.2',b'07.46',b'',b'13',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'12:00:00',b'0',b'28.7',b'',b'32.5',b'79',b'',b'284',b'2',b'',b'',b'',b'',b'972.3',b'1005.0',b'08.08',b'',b'11',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2020-06-01',b'13:00:00',b'0',b'25.6',b'',b'',b'99',b'',b'346',b'1',b'',b'',b'',b'',b'972.8',b'1005.9',b'08.08',b'',b'9',b'',b'',b'',b'',b'',b'',b'',b'',b'12.7',b'L'
