b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'01:00:00',b'1',b'26.0',b'',b'',b'1',b'',b'265',b'1',b'',b'',b'',b'',b'998.2',b'1007.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'02:00:00',b'1',b'26.9',b'',b'',b'',b'',b'116',b'2',b'',b'',b'',b'',b'999.0',b'1007.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.1',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'03:00:00',b'1',b'29.9',b'24.3',b'',b'99',b'',b'111',b'3',b'',b'',b'',b'',b'999.6',b'1008.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'04:00:00',b'0',b'31.0',b'',b'',b'95',b'',b'126',b'4',b'',b'',b'',b'',b'999.5',b'1008.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'05:00:00',b'0',b'31.3',b'',b'',b'95',b'',b'115',b'5',b'',b'',b'',b'',b'999.5',b'1008.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'06:00:00',b'0',b'32.1',b'',b'',b'91',b'',b'117',b'6',b'',b'',b'',b'',b'998.7',b'1007.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'07:00:00',b'0',b'31.5',b'',b'',b'94',b'',b'139',b'5',b'',b'',b'',b'',b'997.6',b'1006.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'08:00:00',b'0',b'31.7',b'',b'',b'92',b'',b'129',b'6',b'',b'',b'',b'',b'997.2',b'1006.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'09:00:00',b'0',b'30.0',b'',b'',b'96',b'',b'135',b'3',b'',b'',b'',b'',b'996.5',b'1005.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'10:00:00',b'0',b'30.1',b'',b'',b'95',b'',b'137',b'5',b'',b'',b'',b'',b'996.1',b'1004.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'12',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'11:00:00',b'0',b'29.0',b'',b'',b'99',b'',b'183',b'5',b'',b'',b'',b'',b'996.3',b'1005.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'13',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'12:00:00',b'0',b'27.6',b'',b'33.1',b'99',b'',b'223',b'4',b'',b'',b'',b'',b'996.5',b'1005.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'14',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'13:00:00',b'0',b'26.9',b'',b'',b'99',b'',b'255',b'4',b'',b'',b'',b'',b'997.2',b'1006.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'15',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'14:00:00',b'0',b'26.5',b'',b'',b'99',b'',b'260',b'2',b'',b'',b'',b'',b'998.4',b'1007.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'16',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'15:00:00',b'0',b'26.4',b'',b'',b'83',b'',b'227',b'1',b'',b'',b'',b'',b'999.4',b'1008.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'17',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'17:00:00',b'0',b'26.2',b'',b'',b'',b'',b'238',b'2',b'',b'',b'',b'',b'1000.0',b'1009.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'18',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'18:00:00',b'0',b'26.0',b'',b'',b'',b'',b'156',b'3',b'',b'',b'',b'',b'999.9',b'1008.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'19',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'19:00:00',b'0',b'25.3',b'',b'',b'99',b'',b'192',b'2',b'',b'',b'',b'',b'999.0',b'1008.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'20',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-09-01',b'20:00:00',b'0',b'25.6',b'',b'',b'99',b'',b'236',b'3',b'',b'',b'',b'',b'998.7',b'1007.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
