b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'02:00:00',b'0.0',b'7.2',b'',b'',b'94',b'',b'359',b'0',b'',b'',b'',b'',b'910.1',b'1349.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'3',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'03:00:00',b'0.0',b'9.8',b'',b'',b'82',b'',b'359',b'0',b'',b'',b'',b'',b'910.9',b'1333.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'4',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'04:00:00',b'0.0',b'12.8',b'',b'',b'78',b'',b'359',b'0',b'',b'',b'',b'',b'911.5',b'1314.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'5',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'05:00:00',b'0.0',b'14.6',b'',b'',b'66',b'',b'359',b'0',b'',b'',b'',b'',b'911.4',b'1302.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'6',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'06:00:00',b'0.0',b'16.0',b'',b'',b'58',b'',b'359',b'0',b'',b'',b'',b'',b'910.7',b'1292.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'7',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'07:00:00',b'0.0',b'16.2',b'',b'',b'56',b'',b'359',b'0',b'',b'',b'',b'',b'909.6',b'1290.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'8',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'08:00:00',b'0.0',b'16.6',b'',b'',b'52',b'',b'359',b'0',b'',b'',b'',b'',b'908.7',b'1286.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'9',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'09:00:00',b'0.0',b'16.1',b'',b'',b'52',b'',b'359',b'0',b'',b'',b'',b'',b'908.0',b'1288.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'10',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'10:00:00',b'0.0',b'13.6',b'',b'',b'61',b'',b'359',b'0',b'',b'',b'',b'',b'907.9',b'1305.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'11',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'11:00:00',b'0.0',b'12.3',b'',b'',b'74',b'',b'359',b'0',b'',b'',b'',b'',b'907.9',b'1314.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'12',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'12:00:00',b'0.0',b'11.5',b'',b'16.8',b'75',b'',b'359',b'0',b'',b'',b'',b'',b'908.0',b'1319.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'13',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'13:00:00',b'0.0',b'10.6',b'',b'',b'75',b'',b'359',b'0',b'',b'',b'',b'',b'908.4',b'1325.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'14',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'14:00:00',b'0.0',b'10.4',b'',b'',b'77',b'',b'359',b'0',b'',b'',b'',b'',b'909.0',b'1327.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'15',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'15:00:00',b'0.0',b'9.8',b'',b'',b'78',b'',b'359',b'0',b'',b'',b'',b'',b'909.7',b'1332.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'16',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'16:00:00',b'0.0',b'9.5',b'',b'',b'77',b'',b'359',b'0',b'',b'',b'',b'',b'909.8',b'1334.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'17',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'17:00:00',b'0.0',b'8.5',b'',b'',b'82',b'',b'359',b'0',b'',b'',b'',b'',b'909.6',b'1340.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'18',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-01',b'19:00:00',b'0.0',b'7.8',b'',b'',b'90',b'',b'359',b'0',b'',b'',b'',b'',b'909.0',b'1345.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'19',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'01:00:00',b'0.0',b'7.3',b'',b'',b'90',b'',b'359',b'0',b'',b'',b'',b'',b'909.7',b'1348.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'20',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'02:00:00',b'0.0',b'8.1',b'',b'',b'89',b'',b'359',b'0',b'',b'',b'',b'',b'910.6',b'1344.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'21',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'03:00:00',b'0.0',b'11.0',b'',b'',b'82',b'',b'359',b'0',b'',b'',b'',b'',b'911.3',b'1325.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'22',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'04:00:00',b'0.0',b'14.9',b'',b'',b'65',b'',b'359',b'0',b'',b'',b'',b'',b'911.7',b'1301.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'23',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'05:00:00',b'0.0',b'16.3',b'',b'',b'62',b'',b'359',b'0',b'',b'',b'',b'',b'911.6',b'1292.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'24',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'06:00:00',b'0.0',b'17.8',b'',b'',b'59',b'',b'359',b'0',b'',b'',b'',b'',b'910.8',b'1281.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'25',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'07:00:00',b'0.0',b'18.3',b'',b'',b'53',b'',b'359',b'0',b'',b'',b'',b'',b'909.8',b'1276.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'26',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'08:00:00',b'0.0',b'18.0',b'',b'',b'44',b'',b'359',b'0',b'',b'',b'',b'',b'909.0',b'1277.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'27',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'09:00:00',b'0.0',b'17.3',b'',b'',b'45',b'',b'359',b'0',b'',b'',b'',b'',b'908.4',b'1281.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'28',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'10:00:00',b'0.0',b'16.2',b'',b'',b'47',b'',b'359',b'0',b'',b'',b'',b'',b'908.3',b'1288.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'29',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'11:00:00',b'0.0',b'14.1',b'',b'',b'56',b'',b'359',b'0',b'',b'',b'',b'',b'908.3',b'1302.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'30',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'12:00:00',b'0.0',b'11.5',b'',b'19.1',b'63',b'',b'359',b'0',b'',b'',b'',b'',b'908.6',b'1320.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'31',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'13:00:00',b'0.0',b'10.8',b'',b'',b'62',b'',b'359',b'0',b'',b'',b'',b'',b'908.9',b'1325.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'32',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'14:00:00',b'0.0',b'10.2',b'',b'',b'61',b'',b'359',b'0',b'',b'',b'',b'',b'909.3',b'1329.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'33',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'15:00:00',b'0.0',b'9.8',b'',b'',b'63',b'',b'359',b'0',b'',b'',b'',b'',b'909.7',b'1332.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'34',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'16:00:00',b'0.0',b'9.6',b'',b'',b'64',b'',b'359',b'0',b'',b'',b'',b'',b'909.7',b'1333.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'35',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-02',b'17:00:00',b'0.0',b'9.0',b'',b'',b'72',b'',b'359',b'0',b'',b'',b'',b'',b'909.8',b'1337.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'36',b'SOUTH_SIKKIM',b'NAMCHI',b'2021-02-03',b'01:00:00',b'0.0',b'7.4',b'',b'',b'83',b'',b'359',b'0',b'',b'',b'',b'',b'909.3',b'1347.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
