b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'01:00:00',b'0',b'25.6',b'',b'',b'99',b'',b'072',b'6',b'',b'',b'',b'',b'1003.0',b'1012.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'02:00:00',b'0',b'27.4',b'',b'',b'93',b'',b'073',b'5',b'',b'',b'',b'',b'1004.0',b'1013.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'03:00:00',b'0',b'28.8',b'',b'',b'92',b'',b'055',b'5',b'',b'',b'',b'',b'1004.6',b'1013.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'04:00:00',b'0',b'27.9',b'',b'',b'94',b'',b'059',b'6',b'',b'',b'',b'',b'1004.6',b'1013.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'05:00:00',b'0',b'29.6',b'',b'',b'89',b'',b'065',b'5',b'',b'',b'',b'',b'1004.0',b'1012.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'06:00:00',b'0',b'30.1',b'',b'',b'86',b'',b'054',b'6',b'',b'',b'',b'',b'1003.3',b'1012.2',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'07:00:00',b'0',b'29.4',b'',b'',b'88',b'',b'041',b'7',b'',b'',b'',b'',b'1002.6',b'1011.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'08:00:00',b'0',b'30.0',b'',b'',b'86',b'',b'057',b'5',b'',b'',b'',b'',b'1001.7',b'1010.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'09:00:00',b'0',b'28.8',b'',b'',b'90',b'',b'062',b'5',b'',b'',b'',b'',b'1001.4',b'1010.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2020-02-01',b'10:00:00',b'0',b'28.0',b'',b'',b'96',b'',b'086',b'5',b'',b'',b'',b'',b'1001.5',b'1010.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
