b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'GASA',b'GASA',b'2022-02-03',b'05:00:00',b'8.0',b'0.4',b'',b'',b'',b'',b'198',b'4',b'',b'',b'',b'',b'716.3',b'2857.9',b'00.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'3',b'GASA',b'GASA',b'2022-02-03',b'06:00:00',b'9.0',b'0.7',b'',b'',b'',b'',b'201',b'4',b'',b'',b'',b'',b'715.6',b'2850.5',b'01.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'4',b'GASA',b'GASA',b'2022-02-03',b'07:00:00',b'10.0',b'0.1',b'',b'',b'',b'',b'213',b'3',b'',b'',b'',b'',b'714.8',b'2865.2',b'02.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'5',b'GASA',b'GASA',b'2022-02-03',b'10:00:00',b'10.0',b'-0.9',b'',b'',b'',b'',b'197',b'2',b'',b'',b'',b'',b'714.0',b'2889.8',b'03.59',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'6',b'GASA',b'GASA',b'2022-02-07',b'03:00:00',b'10.0',b'2.6',b'',b'',b'',b'',b'196',b'2',b'',b'',b'',b'',b'714.9',b'2803.8',b'01.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'7',b'GASA',b'GASA',b'2022-02-07',b'04:00:00',b'1.0',b'2.3',b'',b'',b'',b'',b'118',b'1',b'',b'',b'',b'',b'715.1',b'2811.2',b'02.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'8',b'GASA',b'GASA',b'2022-02-07',b'05:00:00',b'1.0',b'3.3',b'',b'',b'',b'',b'188',b'3',b'',b'',b'',b'',b'714.7',b'2786.5',b'03.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'9',b'GASA',b'GASA',b'2022-02-07',b'07:00:00',b'3.0',b'1.1',b'',b'',b'',b'',b'200',b'5',b'',b'',b'',b'',b'713.3',b'2840.4',b'05.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'10',b'GASA',b'GASA',b'2022-02-07',b'08:00:00',b'4.0',b'0.3',b'',b'',b'',b'',b'215',b'5',b'',b'',b'',b'',b'712.7',b'2860.2',b'06.04',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'11',b'GASA',b'GASA',b'2022-02-09',b'08:00:00',b'0.0',b'5.3',b'',b'',b'',b'',b'152',b'8',b'',b'',b'',b'',b'714.0',b'2736.9',b'05.52',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'12',b'GASA',b'GASA',b'2022-02-10',b'05:00:00',b'0.0',b'3.2',b'',b'',b'',b'',b'198',b'2',b'',b'',b'',b'',b'715.6',b'2789.3',b'00.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'13',b'GASA',b'GASA',b'2022-02-10',b'06:00:00',b'2.0',b'6.0',b'',b'',b'',b'',b'152',b'4',b'',b'',b'',b'',b'714.6',b'2720.0',b'01.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'14',b'GASA',b'GASA',b'2022-02-10',b'07:00:00',b'4.0',b'4.8',b'',b'',b'',b'',b'155',b'8',b'',b'',b'',b'',b'713.9',b'2749.2',b'02.21',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'15',b'GASA',b'GASA',b'2022-02-12',b'04:00:00',b'5.0',b'5.1',b'',b'',b'',b'',b'216',b'4',b'',b'',b'',b'',b'716.6',b'2743.3',b'00.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'16',b'GASA',b'GASA',b'2022-02-12',b'06:00:00',b'6.0',b'6.9',b'',b'',b'',b'',b'251',b'6',b'',b'',b'',b'',b'715.4',b'2698.5',b'02.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'17',b'GASA',b'GASA',b'2022-02-12',b'07:00:00',b'7.0',b'8.2',b'',b'',b'',b'',b'217',b'7',b'',b'',b'',b'',b'714.3',b'2665.7',b'03.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'18',b'GASA',b'GASA',b'2022-02-12',b'08:00:00',b'9.0',b'9.6',b'',b'',b'',b'',b'165',b'5',b'',b'',b'',b'',b'713.0',b'2629.8',b'04.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'19',b'GASA',b'GASA',b'2022-02-12',b'09:00:00',b'9.0',b'9.6',b'',b'',b'',b'',b'220',b'7',b'',b'',b'',b'',b'712.2',b'2628.9',b'05.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'20',b'GASA',b'GASA',b'2022-02-12',b'10:00:00',b'9.0',b'8.0',b'',b'',b'',b'',b'221',b'11',b'',b'',b'',b'',b'712.2',b'2668.7',b'06.57',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'21',b'GASA',b'GASA',b'2022-02-13',b'04:00:00',b'0.0',b'5.5',b'',b'',b'',b'',b'182',b'4',b'',b'',b'',b'',b'717.3',b'2734.0',b'08.24',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
