b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'03:00:00',b'0.0',b'30.5',b'',b'',b'73',b'',b'247',b'2',b'',b'',b'',b'',b'1002.2',b'1011.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'3',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'04:00:00',b'0.0',b'32.8',b'',b'',b'64',b'',b'338',b'2',b'',b'',b'',b'',b'1002.0',b'1010.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'4',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'05:00:00',b'0.0',b'31.0',b'',b'',b'74',b'',b'139',b'6',b'',b'',b'',b'',b'1001.6',b'1010.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'5',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'06:00:00',b'0.0',b'31.3',b'',b'',b'75',b'',b'119',b'5',b'',b'',b'',b'',b'1000.8',b'1009.6',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'6',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'07:00:00',b'0.0',b'31.3',b'',b'',b'75',b'',b'102',b'6',b'',b'',b'',b'',b'999.9',b'1008.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'7',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'08:00:00',b'0.0',b'31.6',b'',b'',b'75',b'',b'105',b'6',b'',b'',b'',b'',b'999.2',b'1008.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'8',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'09:00:00',b'0.0',b'30.5',b'',b'',b'78',b'',b'112',b'4',b'',b'',b'',b'',b'998.9',b'1007.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.8',b'L'
b'9',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'10:00:00',b'0.0',b'30.4',b'',b'',b'79',b'',b'097',b'4',b'',b'',b'',b'',b'998.9',b'1007.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'10',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'11:00:00',b'0.0',b'29.2',b'',b'',b'82',b'',b'086',b'3',b'',b'',b'',b'',b'999.2',b'1008.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'11',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'12:00:00',b'0.0',b'28.5',b'',b'',b'83',b'',b'065',b'3',b'',b'',b'',b'',b'999.5',b'1008.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.6',b'L'
b'12',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'13:00:00',b'0.0',b'27.8',b'',b'',b'87',b'',b'109',b'1',b'',b'',b'',b'',b'999.9',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
b'13',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'14:00:00',b'0.0',b'27.1',b'',b'',b'85',b'',b'303',b'4',b'',b'',b'',b'',b'1000.5',b'1009.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'14',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'15:00:00',b'0.0',b'26.6',b'',b'',b'87',b'',b'279',b'2',b'',b'',b'',b'',b'1001.1',b'1010.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'15',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'16:00:00',b'0.0',b'26.4',b'',b'',b'89',b'',b'221',b'2',b'',b'',b'',b'',b'1001.8',b'1010.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'16',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'17:00:00',b'0.0',b'25.8',b'',b'',b'91',b'',b'233',b'1',b'',b'',b'',b'',b'1001.7',b'1010.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'17',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'18:00:00',b'0.0',b'25.8',b'',b'',b'91',b'',b'304',b'4',b'',b'',b'',b'',b'1001.1',b'1010.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'18',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'19:00:00',b'0.0',b'25.2',b'',b'',b'95',b'',b'242',b'4',b'',b'',b'',b'',b'1000.7',b'1009.7',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'19',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'20:00:00',b'0.0',b'24.9',b'',b'',b'96',b'',b'293',b'4',b'',b'',b'',b'',b'1000.4',b'1009.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'20',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'21:00:00',b'0.0',b'24.5',b'',b'',b'95',b'',b'306',b'3',b'',b'',b'',b'',b'1000.0',b'1009.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'21',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'22:00:00',b'0.0',b'24.0',b'',b'',b'99',b'',b'261',b'1',b'',b'',b'',b'',b'1000.1',b'1009.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'22',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-01',b'23:00:00',b'0.0',b'23.8',b'',b'',b'99',b'',b'265',b'1',b'',b'',b'',b'',b'1000.4',b'1009.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.1',b'L'
b'23',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'02:00:00',b'0.0',b'27.8',b'',b'',b'84',b'',b'133',b'3',b'',b'',b'',b'',b'1002.5',b'1011.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'24',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'03:00:00',b'0.0',b'30.6',b'',b'',b'75',b'',b'056',b'4',b'',b'',b'',b'',b'1002.9',b'1011.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'25',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'04:00:00',b'0.0',b'31.0',b'',b'',b'73',b'',b'044',b'7',b'',b'',b'',b'',b'1002.7',b'1011.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'26',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'05:00:00',b'0.0',b'30.9',b'',b'',b'71',b'',b'033',b'7',b'',b'',b'',b'',b'1002.0',b'1010.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'27',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'06:00:00',b'0.0',b'31.9',b'',b'',b'69',b'',b'096',b'6',b'',b'',b'',b'',b'1001.1',b'1009.9',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'28',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'07:00:00',b'0.0',b'31.3',b'',b'',b'68',b'',b'100',b'7',b'',b'',b'',b'',b'1000.0',b'1008.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'29',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'08:00:00',b'0.0',b'31.6',b'',b'',b'67',b'',b'090',b'7',b'',b'',b'',b'',b'999.3',b'1008.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'30',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'09:00:00',b'0.0',b'31.7',b'',b'',b'70',b'',b'142',b'5',b'',b'',b'',b'',b'998.7',b'1007.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'15.1',b'L'
b'31',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'10:00:00',b'0.0',b'30.3',b'',b'',b'75',b'',b'140',b'5',b'',b'',b'',b'',b'998.5',b'1007.3',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.9',b'L'
b'32',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'11:00:00',b'0.0',b'29.7',b'',b'',b'76',b'',b'114',b'2',b'',b'',b'',b'',b'998.7',b'1007.5',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'33',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'12:00:00',b'0.0',b'28.0',b'',b'',b'81',b'',b'145',b'3',b'',b'',b'',b'',b'999.2',b'1008.1',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'34',b'SOUTH_ANDAMAN',b'PORT_BLAIR',b'2023-04-02',b'13:00:00',b'0.0',b'27.1',b'',b'',b'84',b'',b'182',b'3',b'',b'',b'',b'',b'999.5',b'1008.4',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.5',b'L'
