b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'02:00:00',b'0.0',b'8.4',b'',b'',b'99',b'',b'151',b'2',b'',b'',b'',b'',b'984.2',b'1019.7',b'00.00',b'',b'1',b'',b'',b'',b'',b'',b'',b'',b'',b'12.3',b'L'
b'3',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'03:00:00',b'0.0',b'10.9',b'',b'',b'99',b'',b'272',b'2',b'',b'',b'',b'',b'984.6',b'1019.8',b'00.26',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.5',b'L'
b'4',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'04:00:00',b'0.0',b'17.1',b'',b'',b'79',b'',b'234',b'1',b'',b'',b'',b'',b'984.8',b'1019.3',b'01.26',b'',b'2',b'',b'',b'',b'',b'',b'',b'',b'',b'14.4',b'L'
b'5',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'05:00:00',b'0.0',b'19.8',b'',b'',b'64',b'',b'255',b'3',b'',b'',b'',b'',b'984.1',b'1018.2',b'02.26',b'',b'2',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'6',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'06:00:00',b'0.0',b'21.3',b'',b'',b'54',b'',b'279',b'4',b'',b'',b'',b'',b'983.1',b'1017.0',b'03.26',b'',b'2',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'7',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'07:00:00',b'0.0',b'22.1',b'',b'',b'53',b'',b'265',b'4',b'',b'',b'',b'',b'982.0',b'1015.8',b'04.26',b'',b'4',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'8',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'08:00:00',b'0.0',b'',b'',b'',b'1',b'',b'077',b'3',b'',b'',b'',b'',b'980.9',b'1017.4',b'05.26',b'',b'5',b'',b'',b'',b'',b'',b'',b'',b'',b'14.7',b'L'
b'9',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'09:00:00',b'0.0',b'22.7',b'',b'',b'48',b'',b'255',b'3',b'',b'',b'',b'',b'980.3',b'1014.0',b'06.26',b'',b'3',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'10',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'10:00:00',b'0.0',b'22.4',b'',b'',b'50',b'',b'279',b'3',b'',b'',b'',b'',b'980.0',b'1013.7',b'06.42',b'',b'2',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'11',b'DIMAPUR',b'JHARNAPANI_AMFU',b'2021-02-01',b'11:00:00',b'0.0',b'20.1',b'',b'',b'65',b'',b'031',b'2',b'',b'',b'',b'',b'980.1',b'1014.0',b'06.42',b'',b'1',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
