b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'03:00:00',b'11.0',b'7.5',b'',b'',b'',b'',b'169',b'1',b'',b'',b'',b'',b'787.5',b'2042.1',b'01.10',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'3',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'04:00:00',b'0.0',b'9.5',b'',b'',b'',b'',b'221',b'2',b'',b'',b'',b'',b'787.1',b'2007.5',b'02.10',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'4',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'05:00:00',b'0.0',b'10.4',b'',b'',b'23',b'',b'158',b'2',b'',b'',b'',b'',b'786.7',b'1991.7',b'03.10',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.7',b'L'
b'5',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'06:00:00',b'0.0',b'9.3',b'',b'',b'66',b'',b'213',b'2',b'',b'',b'',b'',b'786.2',b'2010.1',b'03.56',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'6',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'07:00:00',b'0.0',b'9.5',b'',b'',b'',b'',b'234',b'1',b'',b'',b'',b'',b'785.5',b'2006.1',b'04.48',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.0',b'L'
b'7',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'08:00:00',b'0.0',b'8.9',b'',b'',b'99',b'',b'137',b'1',b'',b'',b'',b'',b'784.8',b'2015.8',b'05.44',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'8',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'09:00:00',b'0.0',b'8.7',b'',b'',b'66',b'',b'266',b'2',b'',b'',b'',b'',b'784.6',b'2019.1',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'9',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'10:00:00',b'0.0',b'8.0',b'',b'',b'99',b'',b'320',b'1',b'',b'',b'',b'',b'784.6',b'2031.3',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'10',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'11:00:00',b'0.0',b'7.4',b'',b'',b'68',b'',b'310',b'2',b'',b'',b'',b'',b'784.8',b'2041.9',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'11',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'12:00:00',b'0.0',b'7.1',b'',b'10.6',b'16',b'',b'294',b'2',b'',b'',b'',b'',b'784.9',b'2047.1',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'12',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'13:00:00',b'0.0',b'7.1',b'',b'',b'83',b'',b'191',b'1',b'',b'',b'',b'',b'785.4',b'2047.5',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'13',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'14:00:00',b'0.0',b'7.1',b'',b'',b'97',b'',b'236',b'1',b'',b'',b'',b'',b'785.8',b'2047.8',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'14',b'TRONGSA',b'TRONGSA',b'2020-12-06',b'17:00:00',b'2.0',b'6.0',b'',b'',b'',b'',b'136',b'2',b'',b'',b'',b'',b'786.0',b'2066.9',b'06.18',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'15',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'02:00:00',b'11.0',b'5.3',b'',b'',b'78',b'',b'048',b'3',b'',b'',b'',b'',b'787.5',b'2079.7',b'00.02',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.9',b'L'
b'16',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'03:00:00',b'11.0',b'7.9',b'',b'',b'33',b'',b'170',b'2',b'',b'',b'',b'',b'787.9',b'2035.5',b'00.49',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'17',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'04:00:00',b'0.0',b'8.0',b'',b'',b'50',b'',b'213',b'4',b'',b'',b'',b'',b'788.1',b'2034.0',b'01.49',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.3',b'L'
b'18',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'05:00:00',b'0.0',b'9.4',b'',b'',b'',b'',b'164',b'2',b'',b'',b'',b'',b'788.0',b'2010.1',b'02.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.2',b'L'
b'19',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'06:00:00',b'0.0',b'11.3',b'',b'',b'',b'',b'225',b'4',b'',b'',b'',b'',b'787.3',b'1976.9',b'03.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
b'20',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'07:00:00',b'0.0',b'13.1',b'',b'',b'',b'',b'218',b'4',b'',b'',b'',b'',b'786.0',b'1944.5',b'04.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.6',b'L'
b'21',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'08:00:00',b'0.0',b'11.2',b'',b'',b'',b'',b'183',b'4',b'',b'',b'',b'',b'785.5',b'1976.7',b'05.46',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'22',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'09:00:00',b'0.0',b'10.3',b'',b'',b'50',b'',b'159',b'2',b'',b'',b'',b'',b'785.5',b'1992.2',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.8',b'L'
b'23',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'10:00:00',b'0.0',b'9.3',b'',b'',b'',b'',b'127',b'2',b'',b'',b'',b'',b'786.0',b'2010.0',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'24',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'11:00:00',b'0.0',b'8.7',b'',b'',b'',b'',b'092',b'2',b'',b'',b'',b'',b'786.9',b'2021.1',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.7',b'L'
b'25',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'12:00:00',b'0.0',b'8.3',b'',b'13.7',b'',b'',b'223',b'1',b'',b'',b'',b'',b'787.3',b'2028.2',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'26',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'13:00:00',b'0.0',b'7.8',b'',b'',b'47',b'',b'283',b'1',b'',b'',b'',b'',b'787.9',b'2037.2',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'27',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'14:00:00',b'0.0',b'7.8',b'',b'',b'95',b'',b'170',b'1',b'',b'',b'',b'',b'788.0',b'2037.3',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'28',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'16:00:00',b'0.0',b'7.3',b'',b'',b'66',b'',b'213',b'1',b'',b'',b'',b'',b'788.7',b'2046.3',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'29',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'17:00:00',b'0.0',b'7.4',b'',b'',b'',b'',b'229',b'2',b'',b'',b'',b'',b'788.4',b'2044.4',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'30',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'18:00:00',b'0.0',b'7.3',b'',b'',b'66',b'',b'359',b'0',b'',b'',b'',b'',b'788.1',b'2045.9',b'06.32',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.5',b'L'
b'31',b'TRONGSA',b'TRONGSA',b'2020-12-07',b'21:00:00',b'0.0',b'6.9',b'',b'',b'16',b'',b'293',b'1',b'',b'',b'',b'',b'787.0',b'2052.0',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.4',b'L'
b'32',b'TRONGSA',b'TRONGSA',b'2020-12-08',b'02:00:00',b'11.0',b'7.2',b'',b'',b'',b'',b'239',b'1',b'',b'',b'',b'',b'788.3',b'2047.8',b'00.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.6',b'L'
b'33',b'TRONGSA',b'TRONGSA',b'2020-12-08',b'03:00:00',b'11.0',b'8.0',b'',b'',b'38',b'',b'136',b'2',b'',b'',b'',b'',b'789.1',b'2034.8',b'00.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.2',b'L'
b'34',b'TRONGSA',b'TRONGSA',b'2020-12-08',b'04:00:00',b'0.0',b'10.0',b'',b'',b'',b'',b'207',b'2',b'',b'',b'',b'',b'788.7',b'2000.5',b'01.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.3',b'L'
b'35',b'TRONGSA',b'TRONGSA',b'2020-12-08',b'05:00:00',b'0.0',b'12.6',b'',b'',b'',b'',b'207',b'4',b'',b'',b'',b'',b'787.3',b'1954.7',b'02.54',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.5',b'L'
