b'S NO.',b'DISTRICT',b'STATION',b'DATE(YYYY-MM-DD)',b'TIME (UTC)',b'RAIN FALL CUM. SINCE 0300 UTC (mm)',"b""TEMP. ('C)""","b""TEMP DAY MIN. ('C)""","b""TEMP DAY MAX. ('C)""",b'RH (%)',b'RH DAY MIN MAX (%)',b'WIND DIR 10 m (Deg)',b'WIND SPEED 10 m (Kt)',b'WIND SPEED MAX / GUST 10 m (Kt)',b'WIND DIR 3 m (Deg)',b'WIND SPEED 3 m (Kt)',b'WIND SPEED MAX / GUST 3 m (Kt)',b'SLP (hPa)',b'MSLP (hPa / gpm)',b'SUN SHINE (HH.MM)',"b""SOIL TEMP 10 cm ('C)""",b'SOIL MOIS 10 cm (m3 / m3)',"b""SOIL TEMP 30 cm ('C)""",b'SOIL MOIS 30 cm (m3 / m3)',"b""SOIL TEMP 70 cm ('C)""",b'SOIL MOIS 70 cm (m3 / m3)',"b""SOIL TEMP 100 cm ('C)""",b'SOIL MOIS 100 cm (m3 / m3)',b'GLOBAL RAD IATION (v / m2)',b'PAR (micro - mole / m2s)',b'BATTERY (Volts)',b'GPS'
b'2',b'GASA',b'GASA',b'2022-01-01',b'07:00:00',b'1.0',b'5.4',b'',b'',b'',b'',b'169',b'5',b'',b'',b'',b'',b'719.7',b'2737.8',b'05.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'3',b'GASA',b'GASA',b'2022-01-01',b'08:00:00',b'1.0',b'5.2',b'',b'',b'',b'',b'139',b'5',b'',b'',b'',b'',b'719.2',b'2742.4',b'06.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'4',b'GASA',b'GASA',b'2022-01-02',b'05:00:00',b'0.0',b'5.4',b'',b'',b'',b'',b'186',b'5',b'',b'',b'',b'',b'720.6',b'2738.4',b'03.01',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'5',b'GASA',b'GASA',b'2022-01-02',b'06:00:00',b'0.0',b'6.6',b'',b'',b'',b'',b'198',b'7',b'',b'',b'',b'',b'719.4',b'2708.8',b'04.01',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'6',b'GASA',b'GASA',b'2022-01-02',b'07:00:00',b'0.0',b'7.4',b'',b'',b'',b'',b'177',b'9',b'',b'',b'',b'',b'718.5',b'2688.8',b'05.01',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'7',b'GASA',b'GASA',b'2022-01-02',b'08:00:00',b'0.0',b'8.0',b'',b'',b'',b'',b'167',b'7',b'',b'',b'',b'',b'717.6',b'2673.5',b'06.01',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'8',b'GASA',b'GASA',b'2022-01-02',b'09:00:00',b'0.0',b'6.9',b'',b'',b'',b'',b'180',b'7',b'',b'',b'',b'',b'717.5',b'2700.1',b'06.58',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.6',b'L'
b'9',b'GASA',b'GASA',b'2022-01-02',b'11:00:00',b'0.0',b'4.0',b'',b'',b'',b'',b'304',b'3',b'',b'',b'',b'',b'718.3',b'2770.9',b'07.28',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.0',b'L'
b'10',b'GASA',b'GASA',b'2022-01-11',b'04:00:00',b'0.0',b'5.8',b'',b'',b'',b'',b'155',b'4',b'',b'',b'',b'',b'719.6',b'2728.2',b'02.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'11',b'GASA',b'GASA',b'2022-01-11',b'05:00:00',b'0.0',b'7.1',b'',b'',b'',b'',b'185',b'6',b'',b'',b'',b'',b'719.0',b'2696.4',b'03.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'12',b'GASA',b'GASA',b'2022-01-11',b'06:00:00',b'0.0',b'9.1',b'',b'',b'',b'',b'147',b'3',b'',b'',b'',b'',b'718.2',b'2647.4',b'04.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'13',b'GASA',b'GASA',b'2022-01-11',b'07:00:00',b'0.0',b'9.3',b'',b'',b'',b'',b'212',b'3',b'',b'',b'',b'',b'717.2',b'2641.5',b'05.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'14',b'GASA',b'GASA',b'2022-01-11',b'08:00:00',b'0.0',b'8.8',b'',b'',b'',b'',b'213',b'8',b'',b'',b'',b'',b'716.7',b'2653.2',b'06.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'15',b'GASA',b'GASA',b'2022-01-11',b'09:00:00',b'0.0',b'9.2',b'',b'',b'',b'',b'205',b'6',b'',b'',b'',b'',b'716.1',b'2642.9',b'07.00',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'16',b'GASA',b'GASA',b'2022-01-11',b'10:00:00',b'0.0',b'6.8',b'',b'',b'',b'',b'267',b'1',b'',b'',b'',b'',b'716.3',b'2701.6',b'07.49',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.9',b'L'
b'17',b'GASA',b'GASA',b'2022-01-11',b'11:00:00',b'0.0',b'4.8',b'',b'',b'',b'',b'266',b'2',b'',b'',b'',b'',b'716.7',b'2750.7',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'12.4',b'L'
b'18',b'GASA',b'GASA',b'2022-01-11',b'12:00:00',b'0.0',b'-35.7',b'',b'10.2',b'',b'',b'321',b'6',b'',b'',b'',b'',b'717.4',b'3734.8',b'07.51',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'11.8',b'L'
b'19',b'GASA',b'GASA',b'2022-01-12',b'04:00:00',b'0.0',b'5.1',b'',b'',b'',b'',b'133',b'3',b'',b'',b'',b'',b'718.4',b'2744.3',b'01.31',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.8',b'L'
b'20',b'GASA',b'GASA',b'2022-01-12',b'05:00:00',b'0.0',b'6.5',b'',b'',b'',b'',b'197',b'5',b'',b'',b'',b'',b'717.7',b'2710.0',b'02.22',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'21',b'GASA',b'GASA',b'2022-01-12',b'06:00:00',b'0.0',b'7.3',b'',b'',b'',b'',b'166',b'5',b'',b'',b'',b'',b'716.8',b'2689.8',b'03.22',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'14.1',b'L'
b'22',b'GASA',b'GASA',b'2022-01-21',b'07:00:00',b'3.0',b'2.7',b'',b'',b'',b'',b'226',b'7',b'',b'',b'',b'',b'725.3',b'2804.4',b'02.53',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'23',b'GASA',b'GASA',b'2022-01-21',b'08:00:00',b'3.0',b'5.1',b'',b'',b'',b'',b'180',b'7',b'',b'',b'',b'',b'712.0',b'2740.7',b'03.53',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'13.9',b'L'
b'24',b'GASA',b'GASA',b'2022-01-22',b'05:00:00',b'',b'0.6',b'',b'',b'1',b'',b'180',b'6',b'',b'',b'',b'',b'713.3',b'2852.8',b'00.36',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'79.1',b'L'
